,cdir_real,Global radiation.mean
999,231.3924074,96.21666667
1001,235.2698611,153.7611111
1003,237.6647685,127.3027778
1005,233.2855093,157.1111111
1007,240.2307222,162.225
1009,234.3233148,77.60416667
1011,225.906963,46.2125
1013,248.5900463,181.8859155
1015,249.6506481,164.6930556
1017,234.5285926,159.3444444
1019,245.3626389,200.2944444
1021,239.5122407,141.0972222
1023,241.1772685,124.5458333
1025,239.1473148,88.19583333
1027,245.7503704,158.5958333
1029,241.3027315,127.2708333
1031,245.0547222,156.4638889
1033,242.5685926,114.2388889
1035,234.8935185,124.8986111
1037,245.7731944,121.2366197
1039,242.58,144.9875
1041,246.5030556,157.1513889
1043,238.3148148,81.66527778
1045,242.8765,166.5791667
1047,242.454537,194.0791667
1049,240.1394907,144.2402778
1051,236.626963,156.8138889
1053,242.522963,150.1680556
1055,249.2058796,172.7861111
1057,247.3013426,186.725
1059,245.16875,184.0736111
1061,245.8302037,187.8619718
1063,237.0717407,181.8916667
1065,227.6518056,128.5986111
1067,222.2119907,132.2361111
1069,232.1337037,104.7611111
1071,246.4574537,94.69722222
1073,239.6718981,123.8291667
1075,232.5328241,48.20416667
1077,231.7231481,96.46111111
1079,241.8729167,164.5763889
1081,250.2436574,175.9555556
1083,246.4802315,180.7
1085,243.4011111,150.2394366
1087,247.6092593,160.8861111
1089,246.5828704,169.5777778
1091,247.0390741,149.7875
1093,245.7845833,167.8222222
1095,242.7054444,163.9791667
1097,240.0482407,137.3777778
1099,230.3774259,158.2416667
1101,239.3525926,185.8180556
1103,247.8031481,191.3583333
1105,246.3319907,173.0527778
1107,248.897963,174.1319444
1109,254.166713,190.1887324
1111,247.5294444,189.4180556
1113,251.1787963,201.0527778
1115,244.6555556,188.5263889
1117,248.4645833,187.9791667
1119,249.958537,185.3527778
1121,252.2964352,210.9791667
1123,248.0084259,186.0944444
1125,239.4552315,204.7402778
1127,230.7993981,70.83472222
1129,238.7025463,143.4097222
1131,229.9440741,68.54583333
1133,237.6761574,166.928169
1135,241.0175926,176.9541667
1137,236.2848333,160.9611111
1139,233.0232222,74.42638889
1141,235.0303704,159.75
1143,230.2519907,155.2930556
1145,231.6889352,170.7486111
1147,239.6490926,183.0388889
1149,240.5500463,169.8083333
1151,239.4552315,174.4805556
1153,233.4109722,175.5416667
1155,227.3325,175.4888889
1157,233.3767593,168.9638889
1159,241.1886574,175.3736111
1161,233.8671296,116.6805556
1163,231.6661111,100.9680556
1165,209.7813426,32.21805556
1167,223.8998148,125.4763889
1169,230.5485,175.6763889
1171,226.2376852,165.9611111
1173,226.0894444,173.2236111
1175,226.3859444,178.7444444
1177,225.7131019,171.3944444
1179,220.0109722,173.1
1181,229.6019444,172.4056338
1183,216.9432222,168.9805556
1185,217.8783796,168.9527778
1187,218.6310648,146.0680556
1189,222.0865278,157.675
1191,218.6082407,98.91111111
1193,218.7679167,163.0861111
1195,223.6831481,161.0444444
1197,222.0181019,151.6611111
1199,220.5697685,142.3583333
1201,204.1818519,84.22638889
1203,215.8369907,156.2722222
1205,218.2661111,139.0464789
1207,217.7187037,134.9569444
1209,218.334537,142.7013889
1211,213.9210926,149.9458333
1213,212.9973611,139.9958333
1215,215.7913889,139.5930556
1217,197.8525,54.45277778
1219,204.6836574,98.97361111
1221,212.7236574,121.7805556
1223,206.9531019,134.1402778
1225,207.7285648,121.6305556
1227,202.9273889,117.0902778
1229,204.3529167,115.8971831
1231,193.8495926,89.84444444
1233,198.0235648,119.7125
1235,201.5360648,113.9944444
1237,197.4761574,116.2541667
1239,194.6706944,116.45
1241,194.2601389,105.5277778
1243,191.2266204,102.1375
1245,191.4889074,99.73055556
1247,188.9571667,99.43055556
1249,187.7711204,107.7611111
1251,184.327037,97.31944444
1253,181.3733333,93.20416667
1255,192.6293426,96.625
1257,183.4375093,95.82083333
1259,180.4039722,97.99722222
1261,176.9370833,87.23611111
1263,174.4851667,100.4805556
1265,173.071037,110.8263889
1267,168.8742593,73.39583333
1269,172.1700926,86.73333333
1271,171.8735926,92.875
1273,166.9013426,35.27777778
1275,163.7993704,58.64722222
1277,162.9098333,72.09722222
1279,161.8378519,75.96944444
1281,161.0851667,91.18055556
1283,159.6482222,76.44861111
1285,164.5064352,75.46666667
1287,157.1735,77.95277778
1289,158.1428704,73.74444444
1291,144.2866852,16.31666667
1293,153.5811574,66.70694444
1295,151.3915556,54.54305556
1297,151.9959722,64.57083333
1299,141.0250741,47.11805556
1301,129.6436111,17.27746479
1303,132.551713,41.04861111
1305,146.9324815,61.3125
1307,135.4027778,23.52361111
1309,134.8553704,32.13472222
1311,137.0107593,53.38194444
1313,137.6265926,61.375
1315,140.6259259,58.89305556
1317,140.1925741,55.53611111
1319,137.78625,61.21944444
1321,137.523963,51.92777778
1323,128.9821759,55.92638889
1325,115.6848148,13.97222222
1327,109.0247222,18.92083333
1329,125.3670185,21.7
1331,122.8694907,22.1
1333,118.5814815,30.6875
1335,114.555787,25.67638889
1337,113.8601111,35.95
1339,111.5108519,41.13611111
1341,115.2172222,26.26527778
1343,109.0931481,33.475
1345,107.6448148,36.97222222
1347,96.63969907,9.352777778
1349,93.936875,11.65277778
1351,104.8393519,29.975
1353,106.7324537,33.59444444
1355,107.3368981,23.5125
1357,100.7452315,11.75833333
1359,99.82148148,9.35
1361,100.2206296,9.613888889
1363,97.59766667,28.00138889
1365,97.7002963,21.01805556
1367,94.59833333,15.56865672
1369,94.10793981,122.4769231
1371,91.64462963,16.81343284
