,sp,out-hum,dew-pt,bar,dew2m,temp2m,humidity
81,100870.805,60,11.8,101040,12.1745,21.34118,55.85163044065832
82,100884.0,53,11.3,101050,11.85204,22.76394,50.13089847797823
83,100868.51,48,11.5,101040,11.37927,23.548,46.33691409980996
84,100820.13,43,10.7,101050,11.17242,23.87896,44.80342416294125
85,100786.38,40,10.6,101010,10.85653,24.00903,43.53121453507185
86,100792.31,40,10.4,100970,10.2548,24.1856,41.37829113053023
87,100781.445,41,10.0,100960,9.57345,24.34622,39.152610622958676
88,100758.625,35,8.6,100920,8.44256,24.14382,36.719224239748655
89,100757.51,40,9.4,100910,8.3587,23.3903,38.20636147248245
90,100774.24,44,10.1,100920,8.22527,22.3748,40.26657951454589
91,100830.625,41,9.0,100900,8.58862,20.64794,45.87655391520718
92,100832.305,47,10.0,100940,9.29183,17.5012,58.54628983162844
93,100851.87,56,9.6,100970,9.4369,16.91445,61.35784567089967
94,100864.26,59,9.6,100990,9.77892,15.1527,70.2620231780682
95,100838.766,61,9.3,101000,9.7189,14.9329,70.97679343247606
96,100867.766,63,9.1,101000,9.60055,14.33813,73.17199432690131
97,100877.516,67,9.2,101020,9.35845,13.75463,74.76772571703751
98,100875.62,69,9.1,101030,9.21398,12.49572,80.39149567760599
99,100909.18,68,9.0,101010,9.91082,13.31756,79.83332442786029
100,100942.375,69,9.0,101020,9.98422,13.3877,79.86064032806222
101,100952.0,71,9.0,101050,10.82787,16.07156,71.05185792092314
102,100994.01,72,9.3,101090,11.44067,17.42675,67.89643972052471
103,101014.81,61,10.3,101090,11.99108,19.40612,62.189936332438535
104,100967.68,59,11.3,101140,12.06857,22.93905,50.31449852797819
105,100971.31,54,12.2,101130,11.38955,24.12603,44.782643544205484
106,100945.63,52,13.4,101130,10.21276,25.9441,37.15300620306788
107,100900.49,40,11.0,101130,9.90057,26.585,35.0318872297281
108,100843.766,33,9.2,101090,9.28332,27.10745,32.59115423641828
109,100799.89,31,9.1,101050,9.14657,27.61392,31.347204439774007
110,100754.555,27,7.3,101030,8.53088,28.00778,29.38544610894798
111,100729.01,28,8.1,100990,8.2365,28.11385,28.626906721860145
112,100745.984,28,8.5,100930,8.10635,27.73528,29.009274677095988
113,100733.13,26,7.2,100920,8.66317,26.57083,32.25822959017714
114,100758.06,26,6.9,100910,8.55898,25.04522,35.06584211571974
115,100791.82,31,8.4,100920,8.52972,23.65334,38.04315840194153
116,100820.38,40,9.6,100950,10.0919,19.94854,53.00443385550081
117,100839.01,55,10.6,100970,10.09387,19.15215,55.70265536856029
118,100872.266,74,12.3,100990,9.70495,16.0701,65.92225766937449
119,100884.99,79,12.0,101030,9.92343,15.76925,68.1942513972207
120,100888.38,82,11.7,101040,10.0675,14.89004,72.85525107907175
121,100875.87,84,11.2,101030,9.93987,14.6288,73.4630020466455
122,100878.875,85,10.6,101050,9.85912,14.11904,75.51669756192902
123,100882.08,86,10.1,101020,10.15194,15.4441,70.7034090575124
124,100912.32,86,9.7,101020,10.5422,14.78393,75.71850683273958
125,100915.55,87,9.6,101040,11.40426,17.52667,67.30675902845168
126,100940.2,89,10.2,101080,11.70272,18.69656,63.780888057124486
127,100910.55,60,11.6,101080,12.74334,21.0338,59.082477443506185
128,100889.99,51,11.4,101100,12.11816,25.2178,44.018808123335695
129,100887.63,44,12.7,101100,11.65313,27.10964,38.16811698874314
130,100880.24,32,10.4,101080,10.45815,28.54293,32.42348451287329
131,100832.62,30,9.5,101060,10.09677,29.08645,30.667505842478576
132,100768.56,29,9.2,101050,10.04232,29.8262,29.278094698089358
133,100743.38,27,8.5,101010,9.72625,30.07723,28.253393093362007
134,100680.51,28,9.8,100960,9.44814,30.52886,27.020926793624717
135,100632.5,26,8.4,100950,9.16635,30.8184,26.077380712774577
136,100617.76,24,7.4,100920,8.87872,30.56555,25.948958808170765
137,100572.17,24,7.5,100880,10.76473,29.00073,32.22492883732616
138,100589.5,26,8.5,100830,10.95318,27.64407,35.31384018758761
139,100612.07,28,8.5,100800,10.61678,25.27267,39.72175575270213
140,100624.37,41,10.6,100790,11.74902,20.96514,55.57574995617595
141,100639.67,63,13.3,100820,11.21328,20.32424,55.802272063261974
142,100650.45,69,14.0,100840,10.1289,17.46343,62.07713266770476
143,100641.195,80,13.3,100820,10.3563,16.9537,65.09459714912477
144,100633.74,80,13.6,100820,10.68942,16.63287,67.92662703383611
145,100586.18,85,13.1,100810,10.806,16.38656,69.53734425975425
146,100574.26,86,12.8,100780,10.69714,15.32748,73.87409167633805
147,100553.33,86,12.1,100780,11.0082,16.47192,70.0962823722686
148,100559.195,86,11.5,100750,11.981,16.22198,75.95712896391362
149,100603.26,89,11.9,100750,12.12203,19.98925,60.497452920728904
150,100603.44,87,13.2,100720,12.5204,20.98583,58.39689607687393
151,100611.516,67,14.7,100740,13.52654,22.8446,55.67431069133093
152,100566.43,53,14.0,100800,13.7144,26.99917,43.975422310649385
153,100553.83,37,11.4,100800,13.66406,28.83105,39.3840117354009
154,100494.37,33,11.5,100790,12.47045,31.11126,31.94939252284091
155,100421.37,30,11.5,100750,12.55102,31.75942,30.95542522457595
156,100349.12,28,10.8,100690,12.6622,32.27242,30.288370552521375
157,100324.06,27,11.0,100640,12.86224,32.70913,29.940194984955337
158,100241.44,25,11.0,100560,12.76385,33.414,28.591411230999487
159,100196.195,25,11.4,100510,12.6405,33.386,28.40576404392956
160,100125.19,26,11.5,100450,12.50994,33.0354,28.723821028208523
161,100135.44,29,13.1,100410,14.87667,31.2337,37.103497790053886
162,100146.67,30,12.6,100380,14.88403,29.25033,41.59872062576901
163,100156.95,35,13.5,100360,13.82964,26.90145,44.561510545245675
164,100167.88,48,15.7,100360,14.51257,23.88406,55.73970363154094
165,100151.92,57,15.6,100350,14.68182,23.20428,58.71171307527268
166,100153.445,68,15.0,100370,14.21816,21.00182,65.1694405598796
167,100154.81,74,15.1,100330,14.28866,20.42523,67.83609649082736
168,100113.83,80,15.0,100300,14.69308,19.9907,71.53040827766577
169,100050.11,82,15.3,100280,14.94967,19.90096,73.12940706174783
170,100043.5,77,15.0,100250,15.1701,18.03857,83.32403111372713
171,100032.01,82,14.7,100220,15.99243,18.46328,85.52231839382867
172,100037.38,82,14.4,100220,15.92697,18.9941,82.38302779390563
173,100063.49,84,13.8,100180,16.27966,21.75863,71.02734264693987
174,100115.13,82,13.7,100240,16.0029,23.34124,63.38315812339278
175,100119.32,71,15.5,100250,15.9655,25.5884,55.265758966941846
176,100093.734,59,16.6,100280,14.84838,28.75802,42.704176249661394
177,100062.31,52,17.0,100270,13.89706,30.1775,36.99471566507359
178,100053.68,48,17.0,100280,13.3693,32.2361,31.78695195126915
179,99966.06,45,17.8,100250,13.81088,32.9217,31.472025207785308
180,99935.63,32,14.5,100200,13.8136,33.41763,30.612231432202858
181,99887.07,25,12.3,100160,14.06613,33.81692,30.42980355858566
182,99844.57,28,13.6,100110,13.81243,34.28414,29.161696067992516
183,99764.74,26,12.9,100050,13.54553,34.74267,27.937452066969165
184,99737.445,25,12.1,100000,14.57067,34.3165,30.57496221156223
185,99713.82,24,11.6,99980,15.6442,32.97946,35.309228035954675
186,99753.125,28,13.6,99940,14.48156,31.82083,34.98114429776902
187,99799.516,30,13.3,99950,15.4519,28.65194,44.66864991842226
188,99827.62,53,18.0,99950,15.24523,26.01602,51.45062041094969
189,99839.57,61,17.2,99990,15.03683,25.21163,53.2505294239034
190,99852.36,66,16.9,100020,16.53994,22.6426,68.42701092299394
191,99892.63,75,16.6,100020,16.44467,21.80078,71.59331099354141
192,99893.125,73,16.5,100050,16.46752,21.25543,74.13314524652509
193,99887.195,72,16.2,100050,16.23162,20.93752,74.46790780070353
194,99918.49,77,15.8,100070,15.85977,20.21633,76.0289371000892
195,99960.625,81,15.6,100040,15.9816,21.37097,71.36302589945556
196,100006.305,83,15.7,100060,15.53652,21.52245,68.71751895883921
197,100064.12,84,15.7,100090,16.03118,23.66317,62.275937165108665
198,100116.19,84,15.6,100140,16.29534,24.6779,59.590395387129035
199,100161.89,68,17.1,100200,16.826,25.99642,56.98332501614857
200,100197.94,65,17.1,100270,17.3317,28.78307,49.96915325389688
201,100217.81,60,17.6,100330,17.28948,29.82693,46.917262152350744
202,100245.07,55,17.9,100370,17.48626,30.5819,45.48870367472821
203,100220.76,54,18.7,100400,17.604,31.6101,43.21668962943534
204,100151.92,54,20.1,100410,17.56973,32.37744,41.28761188390668
205,100114.32,49,19.1,100400,17.29818,33.0779,39.01332709192264
206,100072.0,46,18.9,100380,16.924,33.4278,37.35784053736209
207,100057.56,42,17.9,100340,16.50936,33.63998,35.956152342719236
208,100035.18,43,18.1,100300,16.31063,33.1735,36.44551724296463
209,100056.82,40,16.8,100270,17.29492,31.6584,42.264682726536854
210,100072.81,41,17.2,100240,18.1581,29.48794,50.53687160088902
211,100127.61,49,18.7,100270,17.05087,27.68658,52.32733164732686
212,100141.43,52,16.7,100290,17.44808,24.91662,63.20521180251646
213,100135.805,64,17.2,100310,17.5399,24.2343,66.22368993858764
214,100139.195,75,18.0,100320,17.182,21.85635,74.77043371124144
215,100133.51,75,17.1,100330,17.0321,21.39276,76.19556336464593
216,100110.32,74,16.8,100300,16.9581,21.3837,75.88102837020573
217,100119.695,74,16.9,100300,16.93737,21.1239,76.9995218569992
218,100113.516,76,17.4,100290,16.99566,20.05938,82.53052672140478
219,100121.25,80,16.7,100270,17.74423,20.4238,84.60176569305771
220,100149.44,76,16.4,100270,17.769,20.77838,82.90070137361052
221,100181.64,83,15.8,100280,18.42306,23.2984,74.06840082341971
222,100249.016,86,17.0,100320,18.41107,24.27172,69.79883604090564
223,100279.69,72,18.2,100340,18.48736,25.3962,65.57574894384842
224,100240.26,61,18.5,100410,18.40524,28.23412,55.1989990529148
225,100233.24,61,19.0,100490,18.78756,29.295,53.16040564268165
226,100167.445,66,19.3,100420,19.68408,30.94122,51.1408691120407
227,100165.555,64,19.8,100370,19.28704,32.20922,46.422316571701934
228,100122.37,56,19.7,100410,18.8385,32.57037,44.22856324564105
229,100088.12,49,19.7,100390,18.7684,33.46957,41.862410081457114
230,100041.2,44,18.8,100320,18.10156,34.46908,37.96673703229528
231,99993.51,43,19.7,100310,17.90673,35.08383,36.24476183018757
232,99979.195,39,18.1,100260,17.29238,34.76373,35.491304662074626
233,99980.5,37,17.0,100200,18.5807,32.95547,42.586076845276246
234,100028.94,37,17.0,100180,19.26168,31.5992,47.98099951652544
235,100049.305,47,19.7,100170,18.48156,29.77422,50.728828560483365
236,100087.62,58,20.6,100210,18.1556,27.0279,58.31568854610792
237,100105.01,65,19.4,100220,18.1554,26.51885,60.089949928298594
238,100112.984,74,19.2,100270,17.61312,22.97357,71.78623762285368
239,100114.13,68,18.7,100280,17.49362,22.86022,71.73790337776282
240,100078.18,69,18.4,100280,17.53893,23.18722,70.5325334035084
241,100067.0,71,18.1,100270,16.95114,24.47192,62.898863933342334
242,100080.14,69,17.4,100230,17.29684,22.45294,72.62561644248106
243,100092.0,72,17.0,100190,17.5399,20.8042,81.58127724438316
244,100109.63,76,16.6,100240,17.44946,21.44943,77.96365040630532
245,100151.484,80,16.2,100290,17.7415,23.8205,68.76084584207256
246,100156.484,83,16.8,100270,17.68902,24.98928,63.89613852524592
247,100130.44,69,17.6,100310,17.8734,26.7703,58.16454477733883
248,100112.055,63,18.8,100280,17.71032,30.06817,47.516889014020705
249,100130.99,52,17.4,100320,17.79382,31.37612,44.32330963092743
250,100110.94,54,19.4,100320,16.29107,33.86196,35.02179155827789
251,100081.5,50,18.3,100330,16.02633,34.68853,32.88390915872824
252,100027.26,46,20.3,100300,15.65136,35.5358,30.631596107945448
253,99972.8,39,18.1,100260,15.28378,35.48712,29.998269733347488
