,Wind speed.mean,Wind direction.mean,u10,v10,u_v_speed,u_v_wind_dir
0,0.620833333,64.49722222,0.46176773,-2.1023803,2.1524944511653086,282.3877667370437
1,0.725,167.2652778,1.9684187,1.2726923,2.3440174634564865,32.88491821735365
2,3.127777778,90.94722222,1.5535513,0.9882312,1.8412285426815245,32.46089170683084
3,7.358333333,49.52638889,3.6085923,-3.6675668,5.145190435744972,314.53561818639287
4,8.995833333,46.41666667,2.1024582,-5.819141,6.187304135132541,289.8648101244785
5,5.266666667,47.68055556,1.6744969,-6.1963167,6.418588670012162,285.1224278405579
6,3.522222222,52.10277778,1.0571921,-3.9150534,4.055280293784138,285.1113167359485
7,1.783333333,90.37222222,0.772746,-4.0282063,4.101656052849348,280.8593393882445
8,1.980555556,115.3138889,1.6481369,0.74111605,1.8070993997866338,24.211971508360065
9,3.445833333,102.2847222,2.9390845,1.6279436,3.3598241119024683,28.9818402832597
10,5.531944444,58.79861111,2.8453603,-2.3953881,3.7194030954492816,319.90739701270525
11,6.9625,45.84722222,2.022517,-4.901656,5.302528317475071,292.421979998631
12,1.358333333,199.5902778,0.14872198,-3.195075,3.198534427352646,272.6650378035027
13,0.077777778,152.6708333,-0.025115743,-0.96862346,0.9689490222962267,268.51469248594344
14,1.056944444,166.4444444,0.03484018,1.5315129,1.5319091360158548,88.6968108283945
15,1.497222222,168.4611111,0.41662848,2.8079648,2.8387049174555203,81.56037871679395
16,0.361111111,198.9416667,1.5332214,1.61085,2.22387175527681,46.414372351779825
17,1.258333333,154.3708333,0.6693737,0.0962013,0.6762513145076909,8.178454544147558
18,1.538888889,92.56111111,0.14458708,-1.6889734,1.6951508987728754,274.89296105281977
19,2.441666667,85.98194444,-0.6551698,-3.9683785,4.022098380956673,260.6251706553795
20,4.259722222,65.06527778,2.1424289,-3.1517835,3.811002600684951,304.2059567276201
21,2.622222222,48.96111111,2.3378024,-3.345388,4.081291576448534,304.94637081639524
22,1.5,151.5902778,1.3707546,0.98432934,1.6875640500455074,35.68186440233754
23,2.016666667,146.4611111,3.3269029,0.78459346,3.4181676090418947,13.269771858772462
24,1.729166667,145.0055556,1.1838231,1.6195825,2.00611181303532,53.83531078191222
25,1.388888889,128.8763889,2.5917537,1.3174704,2.907389808116526,26.94567117549957
26,2.444444444,113.9555556,3.267464,2.8902745,4.362339702114709,41.49475247518999
27,3.913888889,55.01944444,3.4256234,-3.0666866,4.597767108200145,318.1644589650376
28,3.911111111,83.82222222,2.5533338,-4.3279033,5.0249637280654404,300.5393365760326
29,4.213888889,105.4,4.456934,-2.8600762,5.2956865985594765,327.3111492438773
