,Rainfall.mean,tcrw
0,0.0,1.49e-08
1,0.0,1.49e-08
2,0.002777778,1.49e-08
3,0.0,1.49e-08
4,0.0,1.49e-08
5,0.0,1.49e-08
6,0.0,1.49e-08
7,0.0,1.49e-08
8,0.0,1.49e-08
9,0.040277778,1.49e-08
10,0.038888889,1.49e-08
11,0.0,1.49e-08
12,0.0,1.49e-08
13,0.0,1.49e-08
14,0.0,1.49e-08
15,0.033333333,0.000438169
16,0.004166667,1.49e-08
17,0.016666667,0.000241756
18,0.001408451,1.49e-08
19,0.0,1.49e-08
20,0.0,1.49e-08
21,0.0,1.49e-08
22,0.0,1.49e-08
23,0.0,1.49e-08
24,0.0,1.49e-08
25,0.0,1.49e-08
26,0.002777778,0.008385301
27,0.001388889,0.000143543
28,0.0,1.49e-08
29,0.0,1.49e-08
30,0.0,1.49e-08
31,0.0,1.49e-08
32,0.0,1.49e-08
33,0.0,1.49e-08
34,0.05,1.49e-08
35,0.002777778,0.002387181
36,0.0,7.56e-05
37,0.0,1.49e-08
38,0.015277778,1.49e-08
39,0.002777778,1.49e-08
40,0.0,1.49e-08
41,0.0,1.49e-08
42,0.0,1.49e-08
43,0.001408451,1.49e-08
44,0.0,1.49e-08
45,0.006944444,1.49e-08
46,0.001388889,1.49e-08
47,0.006944444,1.49e-08
48,0.0,1.49e-08
49,0.001388889,1.49e-08
50,0.011111111,1.49e-08
51,0.022222222,1.49e-08
52,0.004166667,1.49e-08
53,0.026388889,1.49e-08
54,0.090277778,1.49e-08
55,0.154166667,0.005318254
56,0.031944444,0.000143543
57,0.034722222,0.000604361
58,0.029166667,1.49e-08
59,0.030555556,1.49e-08
60,0.0,1.49e-08
61,0.008333333,1.49e-08
62,0.008333333,1.49e-08
63,0.015277778,0.000188872
64,0.001388889,1.49e-08
65,0.0,1.49e-08
66,0.047222222,1.49e-08
67,0.020833333,0.04227397
68,0.0,0.000226647
69,0.0,1.49e-08
70,0.0,1.49e-08
71,0.0,0.000392839
72,0.0,0.000460833
73,0.0,1.49e-08
74,0.0,1.49e-08
75,0.0,1.49e-08
76,0.001388889,1.49e-08
77,0.0,1.49e-08
78,0.0,1.49e-08
79,0.0,1.49e-08
80,0.001388889,1.49e-08
81,0.0,1.49e-08
82,0.154166667,1.49e-08
83,0.001388889,0.002447605
84,0.0,1.49e-08
85,0.0,1.49e-08
86,0.0,1.49e-08
87,0.0,3.02e-05
88,0.0,1.49e-08
89,0.0,0.000241756
90,0.0,1.49e-08
91,0.0,0.000241756
92,0.001388889,1.49e-08
93,0.0,1.49e-08
94,0.0,1.49e-08
95,0.0,1.49e-08
96,0.001388889,1.49e-08
97,0.0,1.49e-08
98,0.0,1.49e-08
99,0.0,1.49e-08
100,0.0,1.49e-08
101,0.0,1.49e-08
102,0.0,1.49e-08
103,0.0,1.49e-08
104,0.001388889,0.01196605
105,0.004166667,0.003308803
106,0.0,1.49e-08
107,0.0,1.49e-08
108,0.0,1.49e-08
109,0.0,1.49e-08
110,0.0,1.49e-08
111,0.0,1.49e-08
112,0.0,1.49e-08
113,0.0,1.49e-08
114,0.0,1.49e-08
115,0.0,1.49e-08
116,0.0,1.49e-08
117,0.0,1.49e-08
118,0.0,1.49e-08
119,0.0,0.000241756
120,0.011111111,7.56e-05
121,0.0,0.000506148
