,Air moisture.mean,d2m,t2m
Air moisture.mean,1.0,0.14513600589658704,-0.3956863480063981
d2m,0.14513600589658704,1.0,0.799538454488086
t2m,-0.3956863480063981,0.799538454488086,1.0
