Time,Wind speed.mean,Rainfall.mean,Wind direction.mean,Global radiation.mean,Ground temperature.mean,Air temperature.mean,Ground moisture.mean
29/01/2019 13:00,1.147222222,0.076388889,57.85972222,42.04722222,2.611111111,1.526388889,4
30/01/2019 01:00,0,0.031944444,33.8875,49.52916667,2.6,0.444444444,4
30/01/2019 13:00,0.066666667,0.005555556,225.8125,51.3125,2.6,-0.190277778,4
31/01/2019 01:00,0.422222222,0.001388889,268.7444444,23.58055556,2.6,-0.504166667,4.158333333
31/01/2019 13:00,0.543055556,0,283.7847222,29.31111111,2.591666667,0.613888889,5
01/02/2019 01:00,1.444444444,0.001388889,224.9152778,64.00277778,2.6,1.394444444,5
01/02/2019 13:00,1.127777778,0,231.0638889,32.82361111,2.665277778,5.444444444,4.259722222
02/02/2019 01:00,3.690277778,0,233.9625,32.7125,2.9,8.347222222,4.993055556
02/02/2019 13:00,2.4,0,242.1972222,53.63194444,3.341666667,11.45,4.998611111
03/02/2019 01:00,1.920833333,0.140277778,216.9555556,12.93611111,3.863888889,8.416666667,4.565277778
03/02/2019 13:00,1.290277778,0.094444444,157.2972222,23.37222222,4.231944444,6.229166667,4
04/02/2019 01:00,3.847222222,0,50.95555556,54.725,4.4,3.8625,4
04/02/2019 13:00,1.751388889,0,42.83472222,56.17083333,4.393055556,4.380555556,4
05/02/2019 01:00,1.480555556,0,41.57638889,18.93888889,4.4,2.366666667,4
05/02/2019 13:00,3.377777778,0.001388889,38.56527778,15.12222222,4.4,2.736111111,4
06/02/2019 01:00,4.116666667,0,59.55555556,62.52638889,4.313888889,2.291666667,4
06/02/2019 13:00,1.488888889,0,55.73194444,95.80694444,4.302777778,2.452777778,4
07/02/2019 01:00,0.4125,0.002777778,106.1083333,113.9861111,4.197222222,-1.695833333,4
07/02/2019 13:00,1.230555556,0,248.5666667,102.4805556,3.901388889,2.184722222,4
08/02/2019 01:00,1.334722222,0.001388889,123.7402778,30.67638889,3.793055556,-1.733333333,4
08/02/2019 13:00,0.788888889,0.002777778,197.9111111,34.35555556,3.6,0.455555556,4
09/02/2019 01:00,2.240277778,0.002777778,215.725,40.57222222,3.498611111,-1.434722222,4
09/02/2019 13:00,1.458333333,0.002777778,239.6472222,80.82916667,3.406944444,1.370833333,4
10/02/2019 01:00,0.945833333,0.001388889,238.7944444,33.09166667,3.3875,-0.177777778,4.288888889
10/02/2019 13:00,3.847222222,0.001388889,211.1972222,51.05833333,3.330555556,7.208333333,5
11/02/2019 01:00,4.191666667,0.166666667,162.8208333,11.38333333,3.577777778,6.066666667,4.819444444
11/02/2019 13:00,5.497222222,0,71.34583333,20.59861111,3.827777778,4.886111111,5
12/02/2019 01:00,10.02777778,0,44.74027778,88.98333333,3.9,4.281944444,5
12/02/2019 13:00,8.445833333,0,45.56111111,80.80972222,3.9,3.365277778,4.647222222
13/02/2019 01:00,3.863888889,0,60.44166667,120.6236111,3.7875,1.25,4
13/02/2019 13:00,2.004166667,0,77.65,92.44027778,3.622222222,4.181944444,4
14/02/2019 01:00,1.836111111,0,107.4305556,60.00555556,3.7,3.823611111,4
14/02/2019 13:00,2.744444444,0,67.97222222,81.02916667,3.833333333,6.7625,4
15/02/2019 01:00,1.872222222,0,56.14722222,31.99305556,4.088888889,3.093055556,4
15/02/2019 13:00,1.458333333,0,292.8444444,84.83333333,4.065277778,4.6375,4
16/02/2019 01:00,0.3,0.001388889,106.7694444,128.1291667,4.083333333,1.979166667,4
16/02/2019 13:00,0.441666667,0,225.8416667,114.8097222,4.004166667,5.958333333,4
17/02/2019 01:00,0.218055556,0.001388889,245.6347222,131.5180556,4.127777778,0.802777778,4.226388889
17/02/2019 13:00,0.423611111,0,238.6041667,116.7861111,4.025,6.711111111,5
18/02/2019 01:00,0.138888889,0.001388889,239.525,131.2416667,4.181944444,1.298611111,5
18/02/2019 13:00,0.798611111,0,266.1930556,117.125,4.127777778,8.148611111,5
19/02/2019 01:00,0.334722222,0.002777778,235.2027778,136.3222222,4.318055556,1.961111111,5
19/02/2019 13:00,0.461111111,0,180.6777778,120.0944444,4.272222222,10.04166667,5.723611111
20/02/2019 01:00,1.125,0,77.6375,114.7902778,4.469444444,3.870833333,6.731944444
20/02/2019 13:00,0.879166667,0,21.11527778,98.50277778,4.472222222,8.6,7
21/02/2019 01:00,0.106944444,0,135.2208333,128.5652778,4.688888889,2.870833333,7
21/02/2019 13:00,0.6375,0,91.75833333,118.6555556,4.697222222,9.479166667,7
22/02/2019 01:00,1.818055556,0.023611111,80.28194444,28.45416667,4.945833333,6.534722222,7.909722222
22/02/2019 13:00,8.480555556,0,176.9902778,22.92361111,5.108333333,4.997222222,8
23/02/2019 01:00,7.976388889,0.001388889,226.9291667,144.1972222,4.988888889,-2.352777778,8
23/02/2019 13:00,2.798611111,0,319.2569444,123.2597222,4.419444444,-1.470833333,8
24/02/2019 01:00,1.244444444,0,174.7513889,121.6222222,4.034722222,-4.430555556,8.431944444
24/02/2019 13:00,1.027777778,0,276.5180556,93.18472222,3.651388889,0.494444444,9
25/02/2019 01:00,0.704166667,0,294.3069444,60.60555556,3.468055556,0.368055556,9
25/02/2019 13:00,0.801388889,0,132.4458333,107.2583333,3.481944444,3.294444444,9
26/02/2019 01:00,2.491666667,0,102.8944444,73.16944444,3.6,4.343055556,9
26/02/2019 13:00,6.701388889,0,48.08888889,100.9236111,3.7875,11.71388889,9.227777778
27/02/2019 01:00,2.116666667,0,64.8375,133.4708333,4.161111111,4.470833333,10
27/02/2019 13:00,1.527777778,0,61.11666667,131.7166667,4.290277778,7.594444444,10
28/02/2019 01:00,2.073611111,0,140.5944444,159.9291667,4.493055556,5.694444444,10
28/02/2019 13:00,1.693055556,0,119.8305556,138.9291667,4.570833333,15.24027778,10.25972222
01/03/2019 01:00,0.375,0,139.5583333,59.98194444,4.976388889,7.922222222,11
01/03/2019 13:00,0.859722222,0.001388889,165.8888889,83.49027778,5.154166667,11.17777778,11
02/03/2019 01:00,1.763888889,0,73.83611111,62.325,5.4,6.988888889,11.34166667
02/03/2019 13:00,1.461111111,0.004166667,78.75555556,60.225,14.57083333,7.640277778,103.0041667
03/03/2019 01:00,0.85,0,118.0972222,114.6458333,14.68611111,5.381944444,102.9958333
03/03/2019 13:00,0.802777778,0,177.9138889,108.3819444,5.7125,11.10277778,12
04/03/2019 01:00,1.493055556,0,139.8194444,151.0597222,14.96666667,7.341666667,103.5138889
04/03/2019 13:00,2.8625,0,133.4541667,117.3055556,24.15,16.03333333,195.0055556
05/03/2019 01:00,3.913888889,0.052777778,124.9666667,139.3513889,24.4875,8.120833333,195.0055556
05/03/2019 13:00,1.198611111,0.001388889,153.2208333,125.0527778,33.75277778,10.425,286.0083333
06/03/2019 01:00,0.893055556,0,147.9277778,167.5888889,6.626388889,6.294444444,13
06/03/2019 13:00,1.456944444,0,229.9847222,133.2986111,15.6875,11.72777778,104.0027778
07/03/2019 01:00,1.436111111,0,223.5180556,53.98472222,6.841666667,8.998611111,13
07/03/2019 13:00,2.655555556,0,191.7027778,105.2847222,16,17.18472222,104.0027778
08/03/2019 01:00,1.280555556,0,151.1458333,96.85555556,16.33055556,12.94027778,104.0027778
08/03/2019 13:00,1.336111111,0,121.0944444,44.39166667,43.75416667,13.68472222,377.5472222
