longitude,latitude,time,u10,v10,d2m,t2m,crr,mx2t,msdrswrf,mn2t,skt,sp,tcrw
18.399999618530273,45.29999923706055,2017-07-14 05:00:00,-0.77971387,-1.7307918,282.54758,288.85532,2.910383e-11,289.97397,78.019714,288.43878,290.76135,100515.63,0.0
18.399999618530273,45.29999923706055,2017-07-14 06:00:00,-1.6512079,-1.3347235,283.17627,290.14658,2.910383e-11,291.32617,213.38757,290.25555,293.66122,100492.195,0.0
18.399999618530273,45.29999923706055,2017-07-14 07:00:00,-1.9102044,-0.68309546,284.0666,291.755,2.910383e-11,292.22894,351.0095,291.17123,296.73358,100471.33,0.0
18.399999618530273,45.29999923706055,2017-07-14 08:00:00,-1.6759982,-0.7056161,283.96548,294.74112,2.910383e-11,293.62744,481.54074,292.51627,299.29602,100429.01,0.0
18.399999618530273,45.29999923706055,2017-07-14 09:00:00,-1.7837877,-0.8474712,283.74335,295.67886,2.910383e-11,294.85413,508.78195,293.89548,301.40338,100409.57,0.0
18.399999618530273,45.29999923706055,2017-07-14 10:00:00,-1.5679345,-1.3457389,284.09427,297.00864,2.910383e-11,296.02963,561.40674,295.1192,301.79944,100384.76,0.0
18.399999618530273,45.29999923706055,2017-07-14 11:00:00,-1.4074142,-1.3924936,283.84793,297.75745,2.910383e-11,297.02304,592.114,296.2348,303.07993,100341.14,0.0
18.399999618530273,45.29999923706055,2017-07-14 12:00:00,-1.779268,-1.2122066,283.72263,298.346,2.910383e-11,297.68112,539.29663,297.1955,303.19907,100251.75,0.0
18.399999618530273,45.29999923706055,2017-07-14 13:00:00,-1.5465684,-1.5030158,283.3281,298.79797,2.910383e-11,298.2134,535.2869,297.79114,303.24182,100213.87,0.0
18.399999618530273,45.29999923706055,2017-07-14 14:00:00,-1.294009,-2.164068,282.9758,298.96075,2.910383e-11,298.30634,406.51132,298.05096,302.26056,100135.31,0.0
18.399999618530273,45.29999923706055,2017-07-14 15:00:00,-0.9736531,-3.1607258,283.84268,297.7825,2.910383e-11,298.04132,228.19183,297.1496,300.69678,100137.3,0.0
18.399999618530273,45.29999923706055,2017-07-14 16:00:00,-1.1748514,-3.4137151,283.6982,297.10855,2.910383e-11,296.76633,153.52487,296.3707,298.44604,100119.88,0.0
18.399999618530273,45.29999923706055,2017-07-14 17:00:00,-0.97242045,-3.6432047,283.68774,295.7755,2.910383e-11,296.14197,79.367615,295.48865,296.65375,100149.875,0.0
18.399999618530273,45.29999923706055,2017-07-14 18:00:00,-0.54619235,-3.3642678,283.42572,295.1971,2.910383e-11,295.3607,24.262207,294.74335,294.57175,100143.63,0.0
18.399999618530273,45.29999923706055,2017-07-14 19:00:00,-0.25870752,-2.6908536,283.57135,294.1776,2.910383e-11,295.27206,0.9967346,293.84753,292.99545,100195.83,0.0
18.399999618530273,45.29999923706055,2017-07-14 20:00:00,0.12903404,-2.1552558,284.2283,292.2135,2.910383e-11,293.59656,-3.0517578e-05,292.92834,291.86102,100209.305,0.0
18.399999618530273,45.29999923706055,2017-07-14 21:00:00,0.4461028,-2.32416,284.14136,291.75717,2.910383e-11,292.77524,-3.0517578e-05,292.23303,291.5062,100237.43,0.0
18.399999618530273,45.29999923706055,2017-07-14 22:00:00,0.5995011,-2.4449632,284.90424,289.9478,2.910383e-11,292.13947,-3.0517578e-05,291.57162,290.93347,100242.805,0.00012226403
18.399999618530273,45.29999923706055,2017-07-14 23:00:00,0.3161252,-1.8798681,285.1446,289.0573,2.910383e-11,291.43707,-3.0517578e-05,290.2573,290.71747,100234.64,0.0
18.399999618530273,45.29999923706055,2017-07-15 00:00:00,0.61881286,-2.0601552,285.27435,288.4989,2.910383e-11,290.06488,-3.0517578e-05,289.49417,289.62653,100243.95,0.0
18.399999618530273,45.29999923706055,2017-07-15 01:00:00,0.695375,-2.0890403,285.22552,288.2333,2.910383e-11,289.42197,-3.0517578e-05,289.06512,289.39804,100260.195,0.00029343367
18.399999618530273,45.29999923706055,2017-07-15 02:00:00,0.46568853,-1.729935,285.4318,287.21927,2.910383e-11,289.03088,-3.0517578e-05,288.59546,288.8541,100232.99,0.00029343367
18.399999618530273,45.29999923706055,2017-07-15 03:00:00,0.73605293,-1.4468367,285.77985,287.78824,2.910383e-11,288.52374,-3.0517578e-05,288.19913,288.3559,100267.37,0.0011715069
