,u10,v10,d2m,t2m,cdir,skt,tcrw,T
67,0.03552933,1.282354,280.52298,283.31134,3397978.2,283.6621,0.04899992,03/02/2019 12:00
68,1.2522211,-4.17183,276.1597,277.5559,0,276.66516,0.00079225,04/02/2019 00:00
69,0.3292789,-3.4226813,272.90448,278.70685,3581421.5,278.99564,0.000119194,04/02/2019 12:00
70,-0.30335945,-1.6248721,272.27432,275.62198,0,274.77377,8.41E-05,05/02/2019 00:00
71,-0.46186364,-2.4234443,273.88446,275.71832,3437988.5,276.60733,0.001808837,05/02/2019 12:00
72,0.53430057,-1.9641445,273.7933,275.609,0,275.48203,0.001016602,06/02/2019 00:00
73,0.63560545,-2.8292332,272.41425,278.56177,3758951.2,280.68878,0,06/02/2019 12:00
74,0.17869994,-1.6484687,269.41278,271.091,0,270.45764,0,07/02/2019 00:00
75,-2.5882313,1.4014524,272.33984,278.3296,3922766.8,280.9627,0,07/02/2019 12:00
76,-1.2979732,-0.8688484,270.12076,271.37195,0,270.31516,0,08/02/2019 00:00
77,0.23469326,-0.79304165,273.275,276.08075,3806510.5,278.92886,0,08/02/2019 12:00
78,-0.24650471,1.0352389,270.99973,272.5198,0,272.91064,4.21E-05,09/02/2019 00:00
79,-0.058539435,1.9664727,273.50015,277.0397,3908046,279.5091,0,09/02/2019 12:00
80,-0.46806598,1.5175778,270.97855,272.74396,0,271.24915,0,10/02/2019 00:00
81,-0.08972342,2.7362456,275.62317,281.55896,3869671.5,283.85965,0,10/02/2019 12:00
82,0.63560545,3.695907,276.4903,281.9078,0,277.87787,0.000112176,11/02/2019 00:00
83,2.4301484,-2.2450752,274.5407,277.03537,3795690.2,278.18622,0.004508078,11/02/2019 12:00
84,2.6394773,-3.8752923,272.59753,277.57135,0,275.13513,4.21E-05,12/02/2019 00:00
85,2.4499614,-7.099309,268.45398,279.27988,4104071.2,280.37012,8.41E-05,12/02/2019 12:00
86,1.876245,-3.2822156,269.8015,273.94,0,272.45224,0,13/02/2019 00:00
87,-0.14933477,-2.9626384,269.22556,279.24222,4200951.5,281.4273,0,13/02/2019 12:00
88,2.9557965,0.6112412,271.724,275.10208,0,274.72903,0,14/02/2019 00:00
89,2.7991874,-2.8756835,274.41458,282.32648,4104322.8,283.60016,0.00014022,14/02/2019 12:00
90,1.2258611,-2.180974,275.1684,277.65903,0,277.23917,0.00014022,15/02/2019 00:00
91,-2.0181334,-2.7233267,274.1899,281.69046,4082682,282.45764,0.001205891,15/02/2019 12:00
92,0.9615727,-0.80270326,271.28403,273.1416,0,273.51562,0,16/02/2019 00:00
93,0.6120021,0.8691329,274.02386,283.4978,4281475,285.78818,0,16/02/2019 12:00
94,0.4495353,1.891595,270.99088,274.05548,0,271.3042,0,17/02/2019 00:00
95,-0.4029414,0.8992326,273.5716,285.12854,4395592.5,286.06625,0,17/02/2019 12:00
96,0.22986922,1.670492,271.44266,274.92795,0,270.94287,0,18/02/2019 00:00
97,-1.1120753,0.8249123,274.3461,286.67654,4471964.5,287.49716,0,18/02/2019 12:00
98,-0.63983625,1.5850235,272.79312,275.47504,0,271.32278,0,19/02/2019 00:00
99,0.6698906,0.465016,274.89743,288.09177,4589604.5,289.12973,0,19/02/2019 12:00
100,2.3004162,-0.36031145,272.9099,276.1845,0,274.03732,0,20/02/2019 00:00
101,0.57117003,-1.6460534,275.60593,286.95193,4466805.5,288.53094,0,20/02/2019 12:00
102,0.5770278,-0.83243144,273.18286,276.80566,0,272.6367,0,21/02/2019 00:00
103,1.942748,-0.2900787,274.41016,286.79572,4488572.5,288.11594,0,21/02/2019 12:00
104,1.6346985,0.47096157,275.3236,278.8711,0,276.29004,0.003105879,22/02/2019 00:00
105,3.1658144,-4.829008,279.06314,282.06403,4276694,281.8086,0.011918709,22/02/2019 12:00
106,-2.1127188,-4.6998763,261.7854,271.3034,0,269.726,0,23/02/2019 00:00
107,-2.4224913,-4.5597825,262.13226,274.19626,4898237,275.98514,0,23/02/2019 12:00
108,-0.67860085,-2.0815706,263.38812,267.88385,0,269.6441,0,24/02/2019 00:00
109,-0.8927538,-1.8472757,264.80807,275.70966,4824507.5,280.07004,0,24/02/2019 12:00
110,0.87353396,-0.6769161,266.93454,272.1376,0,271.00342,0,25/02/2019 00:00
111,-1.9001168,0.020951867,266.2408,278.34195,4832560,282.64072,0,25/02/2019 12:00
112,1.7945809,1.1090018,267.5105,273.16568,0,271.86926,0,26/02/2019 00:00
113,3.4199378,-3.344273,273.5514,286.2412,4802363.5,288.1483,0,26/02/2019 12:00
114,0.69607824,-3.1278152,271.36383,279.14526,0,276.2618,0,27/02/2019 00:00
115,0.0532749,-3.2268472,273.5578,285.1341,4883516.5,287.003,0,27/02/2019 12:00
116,2.0948775,1.2344173,271.15295,274.75876,0,274.29544,0,28/02/2019 00:00
117,3.715238,1.9376737,272.1226,291.31927,5108731.5,290.91718,0,28/02/2019 12:00
118,3.0991392,0.09341431,271.40817,282.36227,0,278.53864,0,01/03/2019 00:00
119,2.0893643,0.39905667,275.51328,289.92752,4941770.5,292.01154,0,01/03/2019 12:00
120,1.9842691,-1.2621888,276.6987,280.82294,0,277.34515,0.000855342,02/03/2019 00:00
