,Time,Wind speed.mean,Rainfall.mean,Wind direction.mean,Global radiation.mean,Air temperature.mean,Ground moisture.mean,Air moisture.mean,u10,v10,d2m,t2m,cdir,tcrw
32,17/01/2019 01:00,1.727777778,0,103.9291667,75.76944444,7.213888889,28.475,68.09577465,2.9877849,2.6811814,272.8801,277.31058,0,1.49E-08
33,17/01/2019 13:00,2.430555556,0,108.5819444,45.72777778,8.291666667,28,62.15833333,3.7681499,3.598504,274.27225,285.5428,871710.8,1.49E-08
34,18/01/2019 01:00,0.694444444,0.05,90.21527778,7.009722222,1.15,28,91.74444444,0.28264678,2.4407542,273.42822,278.18658,0,1.49E-08
35,18/01/2019 13:00,0.85,0.002777778,69.85,15.44027778,1.626388889,27.99722222,86.77361111,0.5345805,-2.708273,274.10934,275.61533,838231.6,0.002387181
36,19/01/2019 01:00,0.327777778,0,85.12777778,38.61805556,0.209722222,27.06388889,89.25277778,-0.6039499,-1.4556469,272.335,273.00113,0,7.56E-05
37,19/01/2019 13:00,0.441666667,0,249.5166667,34.10972222,0.879166667,26.79305556,86.72777778,-2.3613977,-0.9520443,271.15698,274.7991,878328.4,1.49E-08
38,20/01/2019 01:00,0.25,0.015277778,264.0056338,43.65833333,-0.272222222,26,96.07916667,0.011398196,-0.98163533,272.84152,273.5509,0,1.49E-08
39,20/01/2019 13:00,0.463888889,0.002777778,95.54027778,43.63333333,1.281944444,25.40555556,87.42222222,0.9105916,-0.7556337,272.03555,274.8426,890780.25,1.49E-08
40,21/01/2019 01:00,0.655555556,0,220.3013889,29.75694444,0.261111111,25,88.7875,-0.8069664,-0.89693093,272.2949,273.46393,0,1.49E-08
41,21/01/2019 13:00,0.502777778,0,258.3375,31.29444444,-0.222222222,24.12638889,88.28194444,-2.5085688,-0.96924406,270.87177,274.31458,889135.6,1.49E-08
42,22/01/2019 01:00,0.030555556,0,234.1416667,26.96388889,-1.233333333,24,95.65555556,-2.3576183,-1.0345293,271.91272,272.4592,0,1.49E-08
43,22/01/2019 13:00,0.125,0.001408451,215.8680556,35.1056338,-1.718055556,23.03888889,94.8375,-2.1445246,-1.8702915,271.2382,272.50513,875822.25,1.49E-08
44,23/01/2019 01:00,0.052777778,0,219.9277778,29.7125,-2.216666667,23,94.85277778,-0.3352207,-1.2335291,270.32056,270.4347,0,1.49E-08
45,23/01/2019 13:00,0.208333333,0.006944444,240.4180556,42.96805556,-1.469444444,22.14166667,91.32361111,-1.0668782,-0.48654008,270.19165,271.9185,934910.06,1.49E-08
46,24/01/2019 01:00,0.161111111,0.001388889,164.1388889,26.05,-1.897222222,22,95.41388889,-0.08118749,-1.1935812,270.5459,271.06,0,1.49E-08
47,24/01/2019 13:00,1.563888889,0.006944444,35.66666667,34.84166667,-0.434722222,21.05138889,86.94583333,1.7818623,-2.1386452,271.7031,273.13284,908361.6,1.49E-08
48,25/01/2019 01:00,1.061111111,0,106.0444444,29.775,-1.881944444,20.29166667,82.02083333,0.91101146,-2.0822372,268.57465,270.19604,0,1.49E-08
49,25/01/2019 13:00,0.780555556,0.001388889,156.8347222,29.45555556,-1.479166667,19.13194444,78.79027778,-0.49897754,-4.1682215,267.4215,271.54514,954723.44,1.49E-08
50,26/01/2019 01:00,1.1,0.011111111,137.0777778,103.2791667,-1.465277778,17.84583333,68.35555556,1.0886247,-2.615431,266.7815,269.8293,0,1.49E-08
51,26/01/2019 13:00,0.472222222,0.022222222,41.30972222,68.85972222,-2.730985915,16.98194444,76.72222222,1.2118623,1.0255623,267.99197,273.17996,1008877.44,1.49E-08
52,27/01/2019 01:00,0.083333333,0.004166667,10.24305556,92.7625,-6.133333333,16.00277778,86.90416667,-0.33836985,0.28449154,267.32455,270.3205,0,1.49E-08
53,27/01/2019 13:00,0.297222222,0.026388889,98.34027778,62.29444444,-0.259722222,15.29166667,81.09861111,-0.46853554,0.83691955,270.8012,275.95364,1014437.75,1.49E-08
54,28/01/2019 01:00,0.291666667,0.090277778,130.025,17.38472222,-0.958333333,15,95.26111111,-1.930381,1.7797642,268.79947,270.93915,0,1.49E-08
55,28/01/2019 13:00,0.438888889,0.154166667,53.51388889,22.16944444,1.298611111,7.240277778,95.96527778,0.53626007,-2.1177466,274.91684,276.43576,965961.5,0.005318254
56,29/01/2019 01:00,0.188888889,0.031944444,37.54305556,44.08888889,0.777777778,3.083333333,95.86478873,0.83417165,-0.4005412,273.73477,274.30127,0,0.000143543
