,Rainfall.mean,tcrw
0,0.0,0.000455722
1,0.0,0.0
2,0.001388889,0.000329524
3,0.0,9.12e-05
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.055555556,0.0
10,0.004166667,2.8e-05
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.002777778,0.0
16,0.0,7.01e-05
17,0.0,0.000455722
18,0.0,0.0
19,0.0,0.0
20,0.001388889,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
24,0.0,3.51e-05
25,0.0,0.0
26,0.0125,0.007677048
27,0.0,6.31e-05
28,0.0,0.0
29,0.0,0.0
30,0.0,0.0
31,0.0,0.0
32,0.0,0.0
33,0.0,0.0
34,0.036111111,0.0
35,0.016666667,0.006723553
36,0.0,0.000105172
37,0.005555556,4.21e-05
38,0.034722222,0.0
39,0.018055556,0.0
40,0.0,0.0
41,0.0,0.0
42,0.0,0.0
43,0.0,0.0
44,0.0,0.0
45,0.004166667,0.0
46,0.0,0.0
47,0.001388889,0.0
48,0.0,0.0
49,0.0,0.0
50,0.0,0.0
51,0.0125,0.0
52,0.0,0.0
53,0.013888889,0.0
54,0.048611111,0.0
55,0.119444444,0.007452697
56,0.016666667,0.0
57,0.076388889,0.000855342
58,0.031944444,0.000182286
59,0.005555556,7.01e-05
60,0.001388889,0.0
61,0.0,0.000119194
62,0.001388889,0.0
63,0.0,0.000245392
64,0.0,7.02e-06
65,0.0,2.8e-05
66,0.140277778,0.0
67,0.094444444,0.04899992
68,0.0,0.00079225
69,0.0,0.000119194
70,0.0,8.41e-05
71,0.001388889,0.001808837
72,0.0,0.001016602
73,0.0,0.0
74,0.002777778,0.0
75,0.0,0.0
76,0.001388889,0.0
77,0.002777778,0.0
78,0.002777778,4.21e-05
79,0.002777778,0.0
80,0.001388889,0.0
81,0.001388889,0.0
82,0.166666667,0.000112176
83,0.0,0.004508078
84,0.0,4.21e-05
85,0.0,8.41e-05
86,0.0,0.0
87,0.0,0.0
88,0.0,0.0
89,0.0,0.00014022
90,0.0,0.00014022
91,0.0,0.001205891
92,0.001388889,0.0
93,0.0,0.0
94,0.001388889,0.0
95,0.0,0.0
96,0.001388889,0.0
97,0.0,0.0
98,0.002777778,0.0
99,0.0,0.0
100,0.0,0.0
101,0.0,0.0
102,0.0,0.0
103,0.0,0.0
104,0.023611111,0.003105879
105,0.0,0.011918709
106,0.001388889,0.0
107,0.0,0.0
108,0.0,0.0
109,0.0,0.0
110,0.0,0.0
111,0.0,0.0
112,0.0,0.0
113,0.0,0.0
114,0.0,0.0
115,0.0,0.0
116,0.0,0.0
117,0.0,0.0
118,0.0,0.0
119,0.001388889,0.0
120,0.0,0.000855342
121,0.004166667,0.005272284
122,0.0,0.001836881
123,0.0,4.91e-05
124,0.0,0.0
125,0.0,0.0
126,0.052777778,0.025611207
127,0.001388889,9.82e-05
128,0.0,0.0
129,0.0,0.0
130,0.0,0.0
131,0.0,0.0
132,0.0,0.0
133,0.0,0.008055642
134,0.0,0.000238374
135,0.0,0.000308484
136,0.0,0.0
137,0.0,4.91e-05
138,0.002777778,9.82e-05
139,0.011111111,0.003631696
140,0.001388889,1.4e-05
141,0.0,0.00016126
142,0.0,0.0
143,0.0,0.0
144,0.0,0.0
145,0.0,3.51e-05
146,0.0,0.0
147,0.0,0.0
148,0.0,0.000616968
149,0.0,0.000133216
150,0.0,0.0
151,0.0,0.0
152,0.0,0.0
153,0.0,0.0033793
154,0.0,0.001360133
155,0.0,0.002783373
156,0.0,0.000329524
157,0.0,0.000666052
158,0.0,0.0
159,0.0,0.0
160,0.0,0.0
161,0.0,0.0
162,0.0,0.0
163,0.0,0.0
164,0.0,0.0
165,0.0,0.0
166,0.0,0.0
167,0.097222222,0.000455722
168,0.0,0.000553876
169,0.0,0.00135313
170,0.0,0.0
171,0.0,0.000988558
172,0.0,0.0
173,0.0,0.0
174,0.0,0.0
175,0.0,0.0
176,0.0,0.0
177,0.0,0.0
178,0.0,0.0
179,0.0,0.0
180,0.0,0.0
181,0.0,0.0
182,0.0,0.0
183,0.0,0.0
184,0.0,0.0
185,0.001388889,0.0
186,0.0,0.0
187,0.0,0.001184866
188,0.033333333,0.0
189,0.141666667,0.05361317
190,0.002777778,0.000357568
191,0.0,8.41e-05
192,0.001388889,0.0
193,0.009722222,0.001044646
194,0.002777778,0.00023137
195,0.001388889,0.031872034
196,0.001388889,0.003828004
