longitude,latitude,time,u10,v10,d2m,t2m,cdir,tcrw,T
17.56999969,45.34999847,24/01/2019 13:00,1.7818623,-2.1386452,271.7031,273.13284,908361.6,1.49E-08,24/01/2019 13:00
17.56999969,45.34999847,25/01/2019 01:00,0.91101146,-2.0822372,268.57465,270.19604,0,1.49E-08,25/01/2019 01:00
17.56999969,45.34999847,25/01/2019 13:00,-0.49897754,-4.1682215,267.4215,271.54514,954723.44,1.49E-08,25/01/2019 13:00
17.56999969,45.34999847,26/01/2019 01:00,1.0886247,-2.615431,266.7815,269.8293,0,1.49E-08,26/01/2019 01:00
17.56999969,45.34999847,26/01/2019 13:00,1.2118623,1.0255623,267.99197,273.17996,1008877.44,1.49E-08,26/01/2019 13:00
17.56999969,45.34999847,27/01/2019 01:00,-0.33836985,0.28449154,267.32455,270.3205,0,1.49E-08,27/01/2019 01:00
17.56999969,45.34999847,27/01/2019 13:00,-0.46853554,0.83691955,270.8012,275.95364,1014437.75,1.49E-08,27/01/2019 13:00
17.56999969,45.34999847,28/01/2019 01:00,-1.930381,1.7797642,268.79947,270.93915,0,1.49E-08,28/01/2019 01:00
17.56999969,45.34999847,28/01/2019 13:00,0.53626007,-2.1177466,274.91684,276.43576,965961.5,0.005318254,28/01/2019 13:00
17.56999969,45.34999847,29/01/2019 01:00,0.83417165,-0.4005412,273.73477,274.30127,0,0.000143543,29/01/2019 01:00
17.56999969,45.34999847,29/01/2019 13:00,-1.1134859,-0.72715235,274.03067,275.2341,990473.7,0.000604361,29/01/2019 13:00
17.56999969,45.34999847,30/01/2019 01:00,-0.72529805,-0.5812315,273.8368,274.15628,0,1.49E-08,30/01/2019 01:00
17.56999969,45.34999847,30/01/2019 13:00,-0.44355214,0.87076426,273.01764,275.35855,1052772.2,1.49E-08,30/01/2019 13:00
17.56999969,45.34999847,31/01/2019 01:00,-1.839265,-0.999205,272.92575,273.68686,0,1.49E-08,31/01/2019 01:00
17.56999969,45.34999847,31/01/2019 13:00,-1.24953,0.5545099,273.23486,274.43964,1032175.75,1.49E-08,31/01/2019 13:00
17.56999969,45.34999847,01/02/2019 01:00,-1.8995191,0.8125069,271.80664,272.35107,0,1.49E-08,01/02/2019 01:00
17.56999969,45.34999847,01/02/2019 13:00,-2.157331,1.5164039,276.08722,282.63196,1037892.7,0.000188872,01/02/2019 13:00
17.56999969,45.34999847,02/02/2019 01:00,-0.3005798,3.5737214,278.1001,281.97705,0,1.49E-08,02/02/2019 01:00
17.56999969,45.34999847,02/02/2019 13:00,-0.7313864,3.8124843,279.69327,289.3266,1045763.25,1.49E-08,02/02/2019 13:00
17.56999969,45.34999847,03/02/2019 01:00,-3.924436,1.5038276,277.81335,283.2162,0,1.49E-08,03/02/2019 01:00
17.56999969,45.34999847,03/02/2019 13:00,-0.20064604,1.4908817,278.9741,282.4634,1076775.5,0.04227397,03/02/2019 13:00
17.56999969,45.34999847,04/02/2019 01:00,-0.77988374,-2.9982653,274.6443,277.31662,0,0.000226647,04/02/2019 01:00
17.56999969,45.34999847,04/02/2019 13:00,-1.284171,-3.0075126,272.40198,278.53217,1103950.4,1.49E-08,04/02/2019 13:00
17.56999969,45.34999847,05/02/2019 01:00,-0.6898173,-1.3433859,272.58368,275.27637,0,1.49E-08,05/02/2019 01:00
17.56999969,45.34999847,05/02/2019 13:00,-1.1907455,-1.5830734,273.89413,276.01105,1056648.9,0.000392839,05/02/2019 13:00
17.56999969,45.34999847,06/02/2019 01:00,0.23582911,-1.3202679,274.60266,275.1471,0,0.000460833,06/02/2019 01:00
17.56999969,45.34999847,06/02/2019 13:00,0.21042573,-2.426788,271.96548,279.60876,1175372.5,1.49E-08,06/02/2019 13:00
17.56999969,45.34999847,07/02/2019 01:00,-1.1428782,-0.71993953,270.67432,271.79886,0,1.49E-08,07/02/2019 01:00
17.56999969,45.34999847,07/02/2019 13:00,-3.0162153,0.5378649,271.3382,278.82034,1219110.9,1.49E-08,07/02/2019 13:00
17.56999969,45.34999847,08/02/2019 01:00,0.18817163,-1.3570718,270.81592,271.22916,0,1.49E-08,08/02/2019 01:00
