,Ground temperature.mean,skt
0,22.79166667,0.4234299999999962
1,4.518055556,6.423800000000028
2,4.372222222,-1.12036999999998
3,13.35,5.714170000000024
4,4.155555556,-0.3281599999999685
5,3.884722222,1.0903600000000324
6,3.634722222,-2.8644499999999766
7,3.363888889,1.0187999999999988
8,30.47361111,-3.790840000000003
9,12.13611111,0.5824200000000133
10,2.908333333,-0.3639599999999632
11,21.15138889,1.6644000000000003
12,12.0875,-2.4315199999999777
13,2.931944444,2.007140000000049
14,2.797222222,-5.723519999999951
15,2.651388889,1.5452999999999977
16,2.6,-3.151430000000005
17,2.643055556,5.235830000000021
18,2.8,-3.451539999999966
19,11.89861111,0.2596400000000471
20,2.797222222,-1.433499999999981
21,2.7625,1.351220000000012
22,2.697222222,-3.724769999999978
23,2.577777778,2.167500000000018
24,2.486111111,-0.6481999999999744
25,2.533333333,7.184320000000014
26,2.659722222,2.122100000000046
27,2.934722222,9.349630000000047
28,3.1,-0.8071999999999662
29,3.002777778,5.320500000000038
30,2.915277778,0.8020000000000209
31,2.983333333,10.178300000000036
32,12.19305556,1.7497200000000248
33,3.119444444,11.77233000000001
34,3.377777778,2.3327000000000453
35,3.458333333,3.285940000000039
36,3.480555556,-3.238869999999963
37,3.443055556,2.9796699999999987
38,3.526388889,-0.290300000000002
39,3.445833333,3.441500000000019
40,3.4625,-0.4155599999999708
41,3.4,2.613520000000051
42,3.397222222,-0.9813299999999572
43,12.4625,0.7021700000000237
44,12.39722222,-3.3764999999999645
45,3.269444444,0.2382800000000315
46,3.184722222,-2.82589999999999
47,3.1,0.2444700000000352
48,3.088888889,-2.8430999999999926
49,3.001388889,-2.775639999999953
50,2.929166667,-3.9532799999999497
51,2.9,-0.1216799999999693
52,2.9,-7.463480000000004
53,2.826388889,3.745020000000011
54,2.8,-4.365549999999985
55,2.719444444,2.373320000000035
56,2.695833333,-0.8216599999999517
57,2.611111111,3.7037300000000073
58,2.6,-1.0074799999999868
59,2.6,2.976920000000007
60,2.6,-1.019869999999969
61,2.591666667,3.0608799999999974
62,2.6,-3.3985399999999686
63,2.665277778,9.931200000000048
64,2.9,5.620570000000043
65,3.341666667,15.431880000000035
66,3.863888889,7.520200000000045
67,4.231944444,10.512100000000032
68,4.4,3.515160000000037
69,4.393055556,5.845640000000003
70,4.4,1.623770000000036
71,4.4,3.457330000000013
72,4.313888889,2.332030000000032
73,4.302777778,7.538780000000031
74,4.197222222,-2.692359999999951
75,3.901388889,7.812700000000007
76,3.793055556,-2.8348399999999856
77,3.6,5.778860000000009
78,3.498611111,-0.2393599999999764
79,3.406944444,6.359100000000012
80,3.3875,-1.9008499999999915
81,3.330555556,10.70965000000001
82,3.577777778,4.727869999999996
83,3.827777778,5.036220000000014
84,3.9,1.9851300000000265
85,3.9,7.220120000000008
86,3.7875,-0.6977599999999597
87,3.622222222,8.277300000000025
88,3.7,1.5790300000000457
89,3.833333333,10.45016000000004
90,4.088888889,4.089170000000024
91,4.065277778,9.307640000000047
92,4.083333333,0.3656200000000353
93,4.004166667,12.638180000000034
94,4.127777778,-1.845799999999997
95,4.025,12.916250000000048
96,4.181944444,-2.2071299999999496
97,4.127777778,14.34716000000003
98,4.318055556,-1.8272199999999543
99,4.272222222,15.979730000000018
100,4.469444444,0.8873200000000452
101,4.472222222,15.38094000000001
102,4.688888889,-0.5132999999999583
103,4.697222222,14.965940000000046
104,4.945833333,3.140039999999999
105,5.108333333,8.658600000000035
106,4.988888889,-3.423999999999978
107,4.419444444,2.835140000000024
108,4.034722222,-3.505899999999997
109,3.651388889,6.920040000000029
110,3.468055556,-2.146579999999972
111,3.481944444,9.49072000000001
112,3.6,-1.2807399999999802
113,3.7875,14.998300000000029
114,4.161111111,3.111800000000017
115,4.290277778,13.853000000000009
116,4.493055556,1.1454400000000078
117,4.570833333,17.767179999999996
118,4.976388889,5.388640000000009
119,5.154166667,18.861540000000048
120,5.4,4.195150000000012
121,14.57083333,12.01460000000003
122,14.68611111,2.095940000000041
123,5.7125,15.409170000000016
124,14.96666667,4.034780000000012
125,24.15,20.531980000000036
126,24.4875,7.63653000000005
127,33.75277778,16.639800000000037
128,6.626388889,4.217900000000043
129,15.6875,18.705300000000022
130,6.841666667,5.325980000000016
131,16.0,20.38192000000004
132,16.33055556,7.858150000000023
133,43.75416667,19.7962
134,71.23194444,6.231070000000045
135,25.7375,19.154750000000035
136,53.24583333,9.446680000000017
137,44.30972222,19.322000000000003
138,16.37083333,7.924900000000036
139,17.07222222,7.817530000000033
140,43.98194444,2.4180500000000507
141,7.327777778,12.084130000000016
142,25.22222222,-1.208469999999977
143,24.97361111,13.563900000000046
144,24.95555556,2.296230000000037
145,6.783333333,16.050620000000038
146,34.20694444,4.970850000000041
147,43.35416667,17.616450000000043
148,16.39166667,6.928280000000029
149,34.825,17.182860000000005
150,35.00972222,4.798100000000034
151,7.879166667,24.98165
152,8.293055556,9.013059999999996
153,26.50833333,11.976770000000045
154,8.268055556,4.1765700000000265
155,26.28055556,8.701960000000042
156,7.951388889,4.130460000000028
157,37.11044776,12.11993000000001
158,25.93194444,3.912959999999998
159,25.88611111,18.29095000000001
160,44.14861111,1.3402000000000385
161,25.875,20.67443000000003
162,26.06666667,3.0450700000000097
163,17.03888889,22.16525000000001
164,26.42083333,4.159400000000005
165,26.54722222,24.526700000000005
166,8.708333333,4.64530000000002
167,26.88472222,19.23046000000005
168,8.834722222,4.388570000000016
169,17.8,12.122670000000028
170,8.536111111,3.124900000000025
171,8.152777778,12.613400000000013
172,8.023611111,1.7621000000000322
