,u10,v10,wind-speed,wind-dir
144,-1.9901907,1.3367797,0.0,---
145,-2.004024,1.2725226,0.0,---
146,-1.7843356,1.2485334,0.0,NE
147,-1.7577648,1.2788872,0.0,---
148,-1.5204084,1.0031325,0.0,---
149,-0.8696984,0.26423728,0.0,---
150,-0.7123282,0.03340149,0.0,NE
151,-0.8996932,0.16007972,0.0,NE
152,-1.407825,0.52518237,0.0,E
153,-2.0644245,1.094194,1.6,E
154,-1.834738,1.1737503,1.6,SE
155,-1.5683454,1.3585659,1.6,SE
156,-1.2140228,0.89346707,3.2,SE
157,-1.0024153,0.59298885,3.2,ESE
158,-0.98146,0.59690535,3.2,SE
159,-1.0911672,0.898363,1.6,SE
160,-1.1154096,0.9691068,1.6,SW
161,-0.8806554,0.45015442,1.6,SE
162,-1.470554,-0.22179091,1.6,E
163,-1.7787201,-0.15422916,1.6,E
164,-1.8815792,0.118220806,0.0,E
165,-1.716676,0.5259167,0.0,E
166,-0.32992816,1.6435002,0.0,E
167,0.261751,1.5496236,0.0,---
168,0.25462896,1.4805931,0.0,---
169,0.47390622,1.5113143,0.0,---
170,0.9984736,1.0097419,0.0,WSW
171,1.092567,1.0609027,0.0,---
172,1.077775,1.1267508,0.0,SE
173,1.6820548,1.4269844,0.0,SE
174,1.8118956,0.810851,0.0,E
175,2.0404863,0.6308087,0.0,SE
176,2.0847254,0.5407263,0.0,SW
177,2.027338,0.75650775,0.0,WNW
178,1.6472664,0.99664557,1.6,NW
179,1.6719196,1.0955404,1.6,NW
180,1.5665953,1.092358,0.0,SW
181,1.5616646,1.0205125,1.6,SE
182,1.372519,1.0440122,1.6,SE
183,1.2072048,0.94646394,1.6,SE
184,0.7942621,0.7224821,3.2,SE
185,-0.021761954,0.52946603,1.6,SW
186,-1.0292599,0.6122047,1.6,SE
187,-1.2289517,1.1768101,1.6,SE
188,-0.98118603,1.6956402,1.6,SE
189,-0.22830176,2.0775108,0.0,E
190,0.70304495,1.6119224,0.0,---
191,1.4126492,1.0796291,0.0,---
192,1.7810788,0.48442495,0.0,ENE
193,1.5327654,0.3615409,0.0,ENE
194,2.0939019,-0.10514903,0.0,ENE
195,2.3486526,-0.77525854,0.0,---
196,2.3113987,-1.1271424,0.0,---
197,2.6509295,-1.0401201,0.0,ENE
198,2.446992,-1.0707186,0.0,---
199,2.435076,-1.2966588,0.0,NW
200,2.6620233,-1.3041248,3.2,NW
201,2.8687,-1.1703477,3.2,NW
202,2.1877213,-0.64772356,3.2,NW
203,1.7208152,-0.9282515,1.6,NW
204,1.3258147,-1.3167315,1.6,NW
205,1.2756863,-1.6875865,3.2,NW
206,1.2230926,-1.9411879,3.2,NW
207,0.9590283,-1.1920116,3.2,NW
208,0.4928071,-1.2676513,3.2,NW
209,-0.29486567,-1.0070735,1.6,NW
210,-0.7121912,-0.7719538,1.6,NW
211,-0.9544783,-0.87305164,1.6,NW
212,-1.0834973,-0.88859576,0.0,NW
213,-1.5209563,-0.7196914,0.0,---
214,-1.0569265,-0.9338817,0.0,NNW
215,-1.404264,-0.92543644,0.0,---
216,-1.6124474,-0.6777102,0.0,---
217,-1.6223087,-0.0990293,0.0,NNW
218,-1.6194324,0.5140444,0.0,NNW
219,-1.7855684,0.7545494,0.0,---
220,-1.9730704,0.63227737,0.0,E
221,-1.7496841,0.79408276,0.0,---
222,-0.9661201,0.7708279,0.0,E
223,-0.6460382,0.91072476,0.0,E
224,-0.79204047,0.6137959,1.6,E
225,-1.2267603,0.04857838,0.0,ESE
226,-3.2324429,-1.1327727,1.6,E
227,-5.2363453,-0.8304584,1.6,E
228,-5.348518,0.05996108,4.8,E
229,-4.1414647,0.5075575,4.8,E
230,-3.0604177,0.2904297,8.0,E
231,-2.6892486,-0.42300737,6.4,E
232,-2.713902,-1.1388924,4.8,E
233,-2.4399765,-1.6509906,3.2,E
234,-2.407653,-1.8129184,3.2,E
235,-2.3986137,-1.4595658,0.0,E
236,-1.8934951,-1.1634936,0.0,NE
237,-1.3963201,-0.92555887,0.0,NE
238,-1.3548205,-0.6008464,0.0,---
239,-0.5555058,-0.96325636,0.0,NE
240,-0.13722157,-0.85665077,0.0,NE
241,0.61333436,-0.18470538,0.0,NE
242,1.7346485,-0.05190742,0.0,NNW
243,1.9599524,0.36643684,0.0,E
244,1.545229,0.05677879,0.0,E
245,1.9733746,-0.21836388,0.0,---
246,1.563719,-0.031589985,0.0,NE
247,1.6842463,0.03389108,0.0,NW
248,2.3715253,-0.027550936,0.0,NW
249,3.627063,-0.30122483,1.6,NW
250,3.355055,0.08003378,1.6,NW
251,3.012511,-0.2982874,3.2,NW
252,2.6717477,-0.29645145,1.6,NW
253,2.8602085,-0.11922431,1.6,NW
254,2.677774,-0.8914108,3.2,NW
255,2.229769,-1.9734999,3.2,NW
256,0.4736324,-3.175658,3.2,NW
257,-0.4036141,-3.3101695,3.2,NW
258,-0.6422032,-3.0823934,3.2,NW
259,-0.49798146,-2.8894997,1.6,NW
260,-0.45360553,-2.703338,1.6,NW
261,-0.12393618,-2.1173134,0.0,N
