,Time,Wind speed.mean,Rainfall.mean,Wind direction.mean,Global radiation.mean,Air temperature.mean,Ground moisture.mean,Air moisture.mean
52,26/01/2019 13:00,0.472222222,0.022222222,41.30972222,68.85972222,-2.730985915,16.98194444,76.72222222
53,27/01/2019 01:00,0.083333333,0.004166667,10.24305556,92.7625,-6.133333333,16.00277778,86.90416667
54,27/01/2019 13:00,0.297222222,0.026388889,98.34027778,62.29444444,-0.259722222,15.29166667,81.09861111
55,28/01/2019 01:00,0.291666667,0.090277778,130.025,17.38472222,-0.958333333,15.0,95.26111111
56,28/01/2019 13:00,0.438888889,0.154166667,53.51388889,22.16944444,1.298611111,7.240277778,95.96527778
57,29/01/2019 01:00,0.188888889,0.031944444,37.54305556,44.08888889,0.777777778,3.083333333,95.86478873
58,29/01/2019 13:00,0.016666667,0.034722222,4.820833333,27.40694444,0.647222222,3.0,95.95972222
59,30/01/2019 01:00,0.025,0.029166667,200.8430556,45.5875,0.129166667,3.0,97.94583333
60,30/01/2019 13:00,0.180555556,0.030555556,338.375,54.75138889,-0.095833333,3.0,92.47222222
61,31/01/2019 01:00,0.047222222,0.0,337.1055556,16.81111111,-0.594444444,3.0,98.14722222
62,31/01/2019 13:00,0.058333333,0.008333333,261.6126761,23.55277778,0.405555556,3.0,95.67222222
63,01/02/2019 01:00,0.038888889,0.008333333,41.65416667,64.41944444,0.729166667,3.0,95.95972222
64,01/02/2019 13:00,0.222222222,0.015277778,152.1319444,61.40277778,4.211111111,3.0,89.42777778
65,02/02/2019 01:00,0.544444444,0.001388889,42.97083333,50.83472222,5.254166667,3.0,92.62916667
66,02/02/2019 13:00,1.108333333,0.0,136.9347222,62.10833333,10.47916667,3.0,79.52222222
67,03/02/2019 01:00,0.794444444,0.047222222,115.0055556,10.74305556,5.761111111,3.0,91.01388889
68,03/02/2019 13:00,0.447222222,0.020833333,169.5027778,32.32957746,5.234722222,2.290277778,95.23055556
69,04/02/2019 01:00,1.266666667,0.0,187.7083333,50.65,3.845833333,2.0,79.77222222
70,04/02/2019 13:00,1.041666667,0.0,297.5958333,58.20555556,4.345833333,2.0,69.86944444
71,05/02/2019 01:00,0.075,0.0,294.4402778,27.21111111,2.241666667,2.0,86.03472222
72,05/02/2019 13:00,0.152777778,0.0,257.725,18.04027778,2.852777778,2.0,89.08194444
73,06/02/2019 01:00,0.308333333,0.0,215.0888889,81.49444444,3.5375,2.0,85.64166667
74,06/02/2019 13:00,0.902777778,0.0,303.6138889,119.7902778,2.591666667,2.0,76.54305556
75,07/02/2019 01:00,0.275,0.0,297.8416667,122.8361111,-0.766666667,2.0,89.82916667
76,07/02/2019 13:00,0.677777778,0.0,277.1083333,117.6569444,2.176056338,2.0,80.225
77,08/02/2019 01:00,0.172222222,0.001388889,52.80833333,59.75555556,-3.197222222,2.0,96.5875
78,08/02/2019 13:00,0.272222222,0.0,237.8069444,58.76805556,1.726388889,2.925,93.17638889
79,09/02/2019 01:00,0.391666667,0.0,68.85277778,44.56666667,-0.201388889,2.959722222,98.44583333
