,Wind speed.mean,Wind direction.mean,u10,v10
0,0.419444444,128.9972222,0.13022685,-1.3777854
1,0.505555556,105.5666667,2.086492,0.51197267
2,0.688888889,71.94861111,1.3861165,0.30613005
3,2.477777778,56.40555556,2.258437,-3.448604
4,5.147222222,84.46388889,1.266238,-5.329115
5,3.266666667,89.04722222,0.38887882,-6.2029757
6,2.241666667,69.68611111,0.57971865,-3.8410552
7,0.763888889,32.51111111,0.023994803,-4.2973123
8,0.283333333,15.8875,2.0413542,-0.03527665
9,0.825,31.575,2.4001496,0.94492674
10,1.566666667,70.22222222,1.8870447,-1.3903617
11,3.794444444,108.2722222,0.93872416,-4.644637
12,1.311111111,211.7736111,-0.27895546,-3.068914
13,0.369444444,91.76901408,-0.17650235,-0.6128569
14,0.083333333,5.9,0.8780501,0.3632778
15,0.430555556,252.5805556,0.81947553,1.0266721
16,0.227777778,118.5333333,2.1016083,0.71282196
17,0.683333333,102.8152778,0.012027979,-0.82887155
18,0.627777778,85.0625,0.7029562,-1.723076
19,2.030555556,168.7638889,-0.6432096,-3.897833
20,1.991666667,55.48888889,1.3844368,-3.0537484
21,1.044444444,256.4111111,1.0562932,-3.7286093
22,0.186111111,154.1527778,1.2420944,0.90386915
23,0.269444444,37.3375,2.0180502,0.48682034
24,0.302777778,59.87083333,0.055696487,1.6704624
25,0.980555556,80.5875,2.2132988,1.1185892
26,2.327777778,64.72222222,3.9277077,1.3131504
27,1.711111111,183.8027778,0.27026004,-3.4069915
28,1.427777778,43.05416667,1.395564,-2.6082182
29,2.008333333,62.5375,3.0161276,-1.0683742
30,0.891666667,59.16111111,3.378912,0.37733352
31,2.169444444,96.71527778,2.8538404,1.4875526
32,1.727777778,103.9291667,2.9877849,2.6811814
33,2.430555556,108.5819444,3.7681499,3.598504
34,0.694444444,90.21527778,0.28264678,2.4407542
35,0.85,69.85,0.5345805,-2.708273
36,0.327777778,85.12777778,-0.6039499,-1.4556469
37,0.441666667,249.5166667,-2.3613977,-0.9520443
38,0.25,264.0056338,0.011398196,-0.98163533
39,0.463888889,95.54027778,0.9105916,-0.7556337
40,0.655555556,220.3013889,-0.8069664,-0.89693093
41,0.502777778,258.3375,-2.5085688,-0.96924406
42,0.030555556,234.1416667,-2.3576183,-1.0345293
43,0.125,215.8680556,-2.1445246,-1.8702915
44,0.052777778,219.9277778,-0.3352207,-1.2335291
45,0.208333333,240.4180556,-1.0668782,-0.48654008
46,0.161111111,164.1388889,-0.08118749,-1.1935812
47,1.563888889,35.66666667,1.7818623,-2.1386452
48,1.061111111,106.0444444,0.91101146,-2.0822372
49,0.780555556,156.8347222,-0.49897754,-4.1682215
50,1.1,137.0777778,1.0886247,-2.615431
51,0.472222222,41.30972222,1.2118623,1.0255623
52,0.083333333,10.24305556,-0.33836985,0.28449154
53,0.297222222,98.34027778,-0.46853554,0.83691955
54,0.291666667,130.025,-1.930381,1.7797642
55,0.438888889,53.51388889,0.53626007,-2.1177466
56,0.188888889,37.54305556,0.83417165,-0.4005412
57,0.016666667,4.820833333,-1.1134859,-0.72715235
58,0.025,200.8430556,-0.72529805,-0.5812315
59,0.180555556,338.375,-0.44355214,0.87076426
60,0.047222222,337.1055556,-1.839265,-0.999205
61,0.058333333,261.6126761,-1.24953,0.5545099
62,0.038888889,41.65416667,-1.8995191,0.8125069
63,0.222222222,152.1319444,-2.157331,1.5164039
64,0.544444444,42.97083333,-0.3005798,3.5737214
65,1.108333333,136.9347222,-0.7313864,3.8124843
66,0.794444444,115.0055556,-3.924436,1.5038276
67,0.447222222,169.5027778,-0.20064604,1.4908817
68,1.266666667,187.7083333,-0.77988374,-2.9982653
69,1.041666667,297.5958333,-1.284171,-3.0075126
70,0.075,294.4402778,-0.6898173,-1.3433859
71,0.152777778,257.725,-1.1907455,-1.5830734
72,0.308333333,215.0888889,0.23582911,-1.3202679
73,0.902777778,303.6138889,0.21042573,-2.426788
74,0.275,297.8416667,-1.1428782,-0.71993953
75,0.677777778,277.1083333,-3.0162153,0.5378649
76,0.172222222,52.80833333,0.18817163,-1.3570718
77,0.272222222,237.8069444,0.004889846,-0.98847824
78,0.391666667,68.85277778,-0.59177315,0.4496466
79,0.408333333,203.1402778,-0.38749683,0.911082
80,0.055555556,75.01527778,0.33513296,-0.007719994
81,1.25,178.6611111,-0.081397414,1.9926348
82,1.180555556,109.4194444,0.3861496,2.8733382
83,2.372222222,68.74861111,2.5859509,-0.9864439
84,4.797222222,92.57083333,1.843796,-3.452488
85,4.566666667,129.2847222,0.10734296,-7.1191883
86,2.672222222,142.2056338,0.7837849,-3.4064367
87,0.891666667,120.5263889,-1.8174306,-3.7872365
88,0.997222222,50.64722222,2.428702,-0.075039625
89,2.283333333,109.1666667,1.5156524,-3.7204716
90,0.633333333,238.3180556,1.1921275,-1.6997731
91,0.719444444,296.425,-2.4705687,-2.9505496
