,Air moisture.mean,d2m,t2m,humidity
0,96.09583333,-0.9362999999999602,1.7464500000000385,82.36264620486276
1,92.3375,0.337820000000022,4.65536000000003,73.56460338301328
2,93.44444444,-2.569069999999954,-0.2127699999999777,84.116839640511
3,80.19166667,-1.1441999999999553,4.870840000000044,65.05402957055094
4,76.45277778,-3.5110799999999927,1.5223000000000295,69.19115070944068
5,79.08472222,-7.640839999999969,0.5257200000000353,54.307876254367436
6,96.36944444,-6.139599999999973,-2.4233199999999897,75.62110384012615
7,86.60138889,-7.28756999999996,-0.4801399999999489,60.035170027913296
8,97.59444444,-7.117599999999982,-3.752719999999954,77.4554030586742
9,98.70416667,-2.806039999999996,0.0156800000000316,81.29084187111994
10,97.24305556,-0.8322999999999752,1.9076200000000083,82.04041887526029
11,82.60138889,-1.705849999999998,2.74615,72.49025453085146
12,86.84583333,-5.855319999999949,-1.0376999999999723,69.78536939769475
13,84.83888889,-7.686159999999973,-0.0398999999999887,56.38069534437087
14,96.85972222,-9.046479999999974,-5.981799999999964,78.91554270189988
15,95.39444444,-4.811800000000005,0.3269000000000233,68.39256592618426
16,95.67916667,-2.689279999999997,-0.9790399999999976,88.1615630799235
17,93.69444444,1.3645999999999958,5.098700000000008,76.80236382817357
18,94.00833333,-1.8935599999999797,-0.1818999999999846,88.22528031106857
19,99.70972222,-2.7641699999999787,0.404700000000048,79.27804202856554
20,94.78472222,-3.2144799999999805,-0.3603599999999574,81.04254156318997
21,87.71944444,-4.092469999999992,1.6828600000000051,65.48590710614887
22,91.84305556,-6.585969999999975,-3.6656600000000026,80.16064810474765
23,81.18888889,-3.798799999999972,1.3877200000000016,68.37472496215301
24,84.41111111,-3.060279999999977,0.6337800000000016,76.2789623146933
25,76.9,-0.7736999999999625,6.195340000000044,60.97265167630436
26,85.32361111,-0.938729999999964,4.050870000000032,69.94000799823942
27,73.37916667,1.8430000000000175,8.626920000000041,62.38339447250127
28,70.42638889,-2.95483999999999,2.2657400000000507,68.38897055343476
29,67.21527778,-3.547059999999988,4.334900000000005,56.537226466524224
