,soil-temp,soil1,soil2,soil3,soil4
120,0.7,-0.67646,0.45403,3.17312,8.5195
121,0.7,-0.5435,0.45025,3.16674,8.51467
122,0.6,-0.31904,0.44564,3.16067,8.50897
123,0.7,-0.27183,0.4431,3.1546,8.50347
124,0.6,-0.28565,0.43975,3.14852,8.4989
125,0.6,-0.2114,0.43725,3.14245,8.49294
126,0.6,-0.0727,0.43386,3.13818,8.48837
127,0.6,-0.3996,0.43093,3.1321,8.48174
128,0.7,-0.1026,0.42883,3.12573,8.47717
129,0.6,0.29107,0.44564,3.11935,8.4726
130,0.7,0.55123,0.45068,3.1139,8.46642
131,0.6,0.8459,0.4549,3.10842,8.4614
132,0.7,1.18145,0.4595,3.10327,8.45522
133,0.6,1.36736,0.46624,3.09777,8.45065
134,0.7,1.76162,0.47338,3.092,8.444
135,0.7,1.68392,0.4822,3.08654,8.43942
136,0.7,1.45196,0.48977,3.082,8.43463
137,0.7,1.1567,0.49563,3.0771,8.42822
138,0.7,0.77453,0.50152,3.07226,8.42343
139,0.7,0.41653,0.50823,3.0674,8.4168
140,0.7,0.57885,0.51537,3.06255,8.41223
141,0.7,0.73654,0.5402,3.05798,8.40765
142,0.6,0.81368,0.54815,3.05435,8.40145
143,0.7,1.09802,0.55615,3.0495,8.3962
144,0.7,1.11355,0.5633,3.04492,8.39025
145,0.7,1.34722,0.56832,3.0419,8.38546
146,0.7,1.31902,0.57296,3.03674,8.38064
147,0.7,1.277,0.57546,3.03307,8.37426
148,0.6,1.24362,0.578,3.02853,8.36944
149,0.6,1.36852,0.57882,3.02487,8.3635
150,0.7,1.12792,0.57968,3.02154,8.3587
151,0.6,0.91036,0.57882,3.0173,8.35412
152,0.6,0.58575,0.57842,3.01394,8.3475
153,0.7,0.71755,0.6175,3.01,8.34268
154,0.6,0.63986,0.62673,3.00665,8.3365
155,0.6,0.54086,0.63555,3.00363,8.33148
156,0.6,0.49368,0.64437,2.99874,8.32577
157,0.6,0.47756,0.65405,2.99542,8.32073
158,0.6,0.51495,0.66412,2.99236,8.3157
159,0.7,0.48675,0.67086,2.98934,8.31
160,0.6,0.20416,0.67758,2.9872,8.3045
161,0.6,0.05798,0.68347,2.98358,8.29968
162,0.7,-0.1452,0.68597,2.98022,8.2935
163,0.6,-0.26722,0.69143,2.97778,8.28893
164,0.7,-0.67243,0.6944,2.97476,8.28436
165,0.6,-0.42667,0.68136,2.9714,8.27886
166,0.6,-0.31614,0.68136,2.96868,8.27294
167,0.6,-0.39673,0.68008,2.96655,8.26745
168,0.6,-0.52335,0.6784,2.96353,8.26287
169,0.6,-0.7127,0.67632,2.96047,8.25668
170,0.6,-0.6241,0.6738,2.95803,8.2519
171,0.6,-0.55155,0.67043,2.9544,8.2473
172,0.6,-0.52106,0.66665,2.95135,8.2416
173,0.6,-0.92798,0.66076,2.94863,8.23565
174,0.6,-1.13517,0.65487,2.94558,8.23107
175,0.6,-1.6175,0.64858,2.94286,8.22512
176,0.6,-2.05607,0.64227,2.94042,8.22054
177,0.6,-2.6276,0.61117,2.93588,8.21575
178,0.6,-2.8682,0.60195,2.93252,8.2096
179,0.6,-2.70875,0.5931,2.92828,8.205
180,0.6,-2.43653,0.58596,2.92523,8.19952
181,0.6,-1.87476,0.5805,2.9222,8.19357
182,0.6,-1.24912,0.5759,2.91793,8.18853
183,0.6,-1.1674,0.57043,2.9149,8.18395
184,0.6,-1.3867,0.56622,2.91186,8.1778
185,0.6,-1.3153,0.56243,2.90884,8.173
186,0.6,-1.14783,0.55825,2.90457,8.16772
187,0.6,-1.35618,0.5549,2.90154,8.16268
188,0.6,-1.44944,0.55193,2.8982,8.15673
189,0.6,-2.35825,0.51287,2.89425,8.1524
190,0.6,-2.07276,0.50277,2.89062,8.14645
191,0.6,-1.66584,0.4927,2.88635,8.1414
192,0.6,-1.4759,0.48345,2.88302,8.13616
193,0.6,-1.4247,0.47506,2.87844,8.1316
194,0.6,-1.41834,0.46624,2.87573,8.12518
195,0.6,-1.17893,0.45825,2.87087,8.1206
196,0.6,-0.77546,0.45068,2.866,8.11556
197,0.6,-0.61487,0.4448,2.86328,8.1094
198,0.6,-0.5038,0.43765,2.8587,8.1046
199,0.6,-1.09775,0.43093,2.85476,8.10003
200,0.6,-1.5939,0.42465,2.8517,8.0943
201,0.6,-1.1087,0.4343,2.84747,8.08904
202,0.6,-1.07645,0.4326,2.84353,8.08264
203,0.6,-0.43473,0.43347,2.83956,8.07806
204,0.6,0.04702,0.43386,2.83563,8.07305
205,0.6,0.7544,0.43557,2.83227,8.06756
206,0.6,1.78176,0.43807,2.8271,8.06182
207,0.6,2.01544,0.4427,2.8241,8.05657
208,0.6,1.85027,0.4448,2.81982,8.052
209,0.6,1.62463,0.4444,2.8174,8.04696
210,0.7,1.53314,0.44607,2.81375,8.04125
211,0.6,1.2885,0.44607,2.8092,8.03597
212,0.6,1.20333,0.44607,2.80615,8.03118
213,0.6,1.15786,0.47967,2.80343,8.02615
214,0.6,1.00073,0.48556,2.79946,8.02136
215,0.6,0.95526,0.48934,2.79644,8.01495
216,0.6,0.8741,0.49352,2.79308,8.01016
217,0.6,0.67037,0.49774,2.79006,8.00533
218,0.6,0.57653,0.5007,2.7867,8.0001
219,0.6,0.3912,0.50277,2.7837,7.99343
220,0.6,0.3469,0.50445,2.78002,7.98864
221,0.6,0.3797,0.50656,2.7773,7.98385
222,0.6,0.46316,0.50823,2.77426,7.9788
223,0.6,0.06603,0.5099,2.77093,7.97286
224,0.6,-0.02894,0.51245,2.76757,7.96783
225,0.6,0.19955,0.53137,2.76513,7.96304
226,0.6,0.16848,0.53933,2.76272,7.95822
227,0.6,0.40215,0.549,2.75936,7.95205
228,0.6,0.7918,0.5595,2.75665,7.94726
229,0.7,1.2586,0.57504,2.7545,7.94222
230,0.7,1.6569,0.59185,2.75237,7.9374
231,0.7,1.77773,0.60574,2.74905,7.9326
232,0.7,1.7973,0.61666,2.74783,7.9262
233,0.7,1.7524,0.6263,2.7454,7.9205
234,0.7,1.78063,0.63473,2.7442,7.91567
235,0.7,1.67413,0.64144,2.74206,7.91088
236,0.7,1.56017,0.64816,2.74023,7.90585
237,0.7,1.3363,0.67462,2.73812,7.8999
238,0.6,1.52276,0.67968,2.7366,7.89465
239,0.6,1.4796,0.68386,2.7366,7.88986
240,0.7,1.44506,0.68554,2.73477,7.88458
241,0.6,1.24246,0.68722,2.73293,7.87954
242,0.6,1.26608,0.68765,2.7296,7.87475
243,0.6,1.0278,0.68597,2.72778,7.8697
244,0.6,0.6761,0.6826,2.72717,7.86492
245,0.6,0.38604,0.67758,2.72534,7.85897
246,0.6,0.00616,0.6721,2.72354,7.85394
247,0.6,-0.07096,0.66665,2.7217,7.8487
248,0.6,0.481,0.6616,2.72018,7.84365
249,0.6,1.06866,0.69018,2.71926,7.8393
250,0.6,1.19296,0.6952,2.71777,7.83404
251,0.6,1.376,0.70278,2.71563,7.82925
252,0.6,1.47268,0.71246,2.71563,7.8233
253,0.6,1.76968,0.72506,2.7135,7.81802
254,0.6,1.7973,0.73934,2.7132,7.81323
255,0.6,1.1354,0.74984,2.71227,7.80798
256,0.6,0.65884,0.7532,2.71166,7.80316
257,0.6,0.34518,0.75277,2.70986,7.79812
258,0.6,-0.09052,0.75067,2.70895,7.79308
259,0.6,-0.81574,0.74563,2.7068,7.7883
260,0.6,-1.27503,0.73766,2.70712,7.78304
261,0.6,-1.48395,0.74395,2.7053,7.77822
262,0.6,-1.6267,0.7385,2.7044,7.7732
263,0.6,-1.63938,0.73092,2.70196,7.76818
264,0.6,-1.63993,0.72463,2.70196,7.76315
265,0.6,-1.26008,0.71832,2.70013,7.7581
266,0.6,-1.30497,0.71246,2.69802,7.75237
267,0.6,-1.28828,0.70532,2.69772,7.74713
268,0.6,-1.20252,0.70025,2.69558,7.74188
269,0.6,-1.30152,0.69396,2.69375,7.73705
270,0.6,-1.3153,0.68722,2.69314,7.73248
271,0.5,-1.37116,0.68093,2.6916,7.72747
272,0.6,-1.2647,0.67462,2.6895,7.7222
273,0.6,-1.30323,0.61495,2.68676,7.7167
274,0.6,-0.72422,0.60235,2.68435,7.7119
275,0.6,-0.00938,0.59017,2.6819,7.70666
276,0.6,0.264,0.57968,2.67977,7.70162
277,0.6,0.7325,0.5721,2.67736,7.6966
278,0.6,1.49456,0.56497,2.67523,7.69222
279,0.6,1.1567,0.55825,2.67278,7.68722
280,0.5,0.3325,0.55193,2.67037,7.68194
281,0.6,-0.01398,0.54647,2.66763,7.67715
282,0.6,-0.37314,0.54144,2.6652,7.6721
283,0.5,-0.59702,0.53555,2.6637,7.66686
284,0.6,-0.40708,0.5305,2.66125,7.66183
285,0.6,-0.27183,0.5515,2.65792,7.6568
286,0.6,-0.3478,0.5515,2.65487,7.65176
287,0.6,-0.31443,0.5528,2.65243,7.64672
288,0.6,-0.31327,0.5515,2.65002,7.64147
289,0.6,-0.056,0.55236,2.6488,7.6371
290,0.6,-0.098,0.5511,2.64666,7.63207
291,0.6,-0.1452,0.55236,2.64395,7.62704
292,0.6,-0.35297,0.55193,2.6412,7.62203
293,0.5,-0.4658,0.5515,2.63998,7.61675
294,0.5,-0.90436,0.5511,2.63726,7.61172
295,0.5,-0.8566,0.54983,2.63452,7.60647
296,0.6,-0.16535,0.54983,2.63238,7.60214
297,0.6,0.49136,0.5364,2.63088,7.5964
298,0.6,1.07614,0.53597,2.62814,7.59115
299,0.6,1.75933,0.5385,2.6263,7.5861
300,0.6,2.3861,0.5427,2.6236,7.58178
301,0.6,3.24484,0.5536,2.62084,7.5765
302,0.6,4.0794,0.56875,2.61962,7.57147
303,0.6,3.6886,0.58303,2.616,7.56622
304,0.6,3.3329,0.5965,2.61508,7.56118
305,0.7,3.44918,0.61288,2.61324,7.55615
306,0.7,3.83193,0.62927,2.61053,7.55135
307,0.7,3.9971,0.65194,2.6093,7.54678
308,0.8,3.72198,0.678,2.6084,7.54266
309,0.8,3.8578,0.95193,2.61083,7.53604
310,0.8,3.81753,1.04733,2.61172,7.531
311,0.9,3.80316,1.12798,2.61447,7.52618
312,0.9,3.6909,1.19775,2.6163,7.52117
313,0.9,3.69665,1.25698,2.6187,7.5159
314,1.0,3.69552,1.3015,2.62145,7.51202
315,1.0,3.66155,1.32925,2.6248,7.50698
316,1.0,3.03304,1.33428,2.62875,7.5024
317,0.9,2.82583,1.32,2.6312,7.49716
318,0.9,2.58236,1.29772,2.63452,7.49212
319,0.9,1.83358,1.27715,2.63757,7.48684
320,0.9,2.92657,1.28387,2.6409,7.4823
321,0.9,4.91857,1.60067,2.64636,7.47726
322,0.9,6.02712,1.812,2.65182,7.47177
323,1.0,6.88757,2.06915,2.65942,7.46856
324,1.1,7.23348,2.36035,2.66854,7.46353
325,1.4,7.13564,2.6452,2.68038,7.45803
326,1.5,7.00787,2.8603,2.69375,7.453
327,1.7,5.50796,2.93344,2.70895,7.44796
328,1.8,3.91998,2.88217,2.72262,7.44454
329,1.8,3.1913,2.75656,2.73477,7.4393
330,1.8,3.26614,2.60824,2.7466,7.434
331,1.7,3.19882,2.46368,2.75845,7.42877
332,1.6,3.28802,2.32757,2.76727,7.42532
333,1.6,1.78005,2.47125,2.78124,7.4203
334,1.5,1.7645,2.34396,2.78884,7.41665
335,1.4,1.64248,2.2179,2.79766,7.41183
336,1.4,1.4422,2.0973,2.80523,7.40634
337,1.3,0.3751,1.97714,2.8113,7.4027
338,1.2,0.3135,1.86035,2.8165,7.39767
339,1.2,-0.04392,1.7494,2.82165,7.3933
340,1.2,-0.31385,1.64184,2.82498,7.38897
341,1.1,-0.456,1.54186,2.82803,7.38415
342,1.1,-0.7346,1.44564,2.83016,7.37914
343,1.0,-0.52106,1.3574,2.83166,7.37524
344,1.0,-0.3484,1.28262,2.83166,7.37045
345,0.9,-0.15613,1.12545,2.83108,7.36517
346,0.9,0.52993,1.07253,2.82894,7.36175
347,0.9,1.20736,1.0368,2.82742,7.3565
348,0.9,1.58608,1.0179,2.82742,7.35168
349,0.9,2.2215,1.01077,2.8256,7.34756
350,0.9,2.92886,1.01202,2.8238,7.34323
351,1.0,2.74987,1.01245,2.82195,7.33865
352,1.1,2.09487,1.01034,2.82073,7.33407
353,1.1,1.62753,1.00488,2.81982,7.32928
354,1.1,1.3104,0.99984,2.8183,7.32562
355,1.0,1.32937,0.99395,2.8165,7.32012
356,1.0,1.0911,0.98974,2.81497,7.316
357,1.0,1.34722,1.10067,2.81466,7.31005
358,0.9,1.09857,1.1179,2.81466,7.30663
359,0.9,0.8154,1.13723,2.81344,7.30114
360,0.9,0.89367,1.1574,2.81375,7.29748
361,0.9,1.10317,1.17504,2.81313,7.29244
362,0.9,1.10433,1.1885,2.81252,7.28765
363,0.9,1.1124,1.1948,2.81283,7.2833
364,0.9,1.23327,1.19396,2.81252,7.27896
365,0.8,1.23672,1.19018,2.81252,7.2753
366,0.9,1.32708,1.1784,2.81103,7.2698
367,0.8,1.41915,1.1679,2.8113,7.2666
368,0.8,2.11904,1.18093,2.8113,7.26113
