,Air temperature.mean,t2m
364,21.86388889,21.610960000000038
365,28.97638889,32.61685
366,21.27746479,18.228300000000047
367,26.29583333,29.38220000000001
368,18.79027778,20.236500000000035
369,21.57638889,22.61688000000004
370,19.05416667,16.501030000000014
371,26.32361111,28.57385000000005
372,20.73194444,20.3519
373,28.10694444,31.91903000000002
374,23.50972222,20.90954000000005
375,23.21388889,29.72717
376,19.02083333,15.913780000000031
377,24.11527778,25.23165
378,18.02777778,16.694360000000017
379,20.29861111,22.80960000000005
380,15.725,16.14880000000005
381,18.18888889,20.78448000000003
382,13.9,11.380200000000002
383,21.75138889,23.90010000000001
384,14.87638889,15.219600000000014
385,21.45555556,24.09103000000005
386,17.52777778,15.93795
387,17.93194444,21.69372000000004
388,16.19305556,14.576800000000048
389,20.04583333,22.16497000000004
390,16.45211268,13.916440000000025
391,20.35694444,23.3485
392,16.85416667,13.740049999999997
393,22.53055556,25.965700000000027
394,17.13333333,15.040200000000029
395,23.97638889,27.313559999999995
396,18.02083333,16.282920000000047
397,22.9875,25.218380000000025
398,18.57777778,17.137800000000027
399,23.46,28.02706000000001
400,18.57777778,19.02578
401,24.81029412,30.32770000000005
402,20.13194444,20.322900000000004
403,27.4125,31.68887000000001
404,21.22083333,19.58764000000002
405,26.01388889,29.50604000000004
406,20.34861111,18.80224000000004
407,26.8625,30.283600000000035
408,20.75,19.29946000000001
409,27.38055556,30.475700000000018
410,21.08472222,19.76528000000002
411,28.07222222,32.326840000000004
412,18.20555556,19.923550000000034
413,22.6375,27.49060000000003
414,20.79295775,20.61712
415,27.66805556,33.127340000000004
416,19.64027778,20.78448000000003
417,21.00555556,24.47466000000003
418,18.3,17.729880000000037
419,23.87361111,25.48660000000001
420,20.25138889,18.331020000000024
421,26.66527778,29.40878000000004
422,22.38194444,20.700500000000037
423,27.09027778,29.880030000000037
424,21.31388889,20.74340000000001
425,25.89583333,27.89053000000001
426,20.43194444,19.41485
427,24.26527778,28.18115
428,19.70416667,18.509240000000037
429,22.075,22.63198
430,17.16527778,16.199550000000045
431,22.16388889,24.989980000000003
432,16.87916667,17.038720000000012
433,23.93194444,27.53167000000002
434,18.475,18.18240000000003
435,27.20138889,30.72643000000005
436,21.10555556,20.07820000000004
437,28.61944444,32.66577000000001
438,21.75915493,22.17706000000004
439,25.9875,29.73320000000001
440,20.75555556,19.94592
441,26.99444444,30.220150000000046
442,21.40833333,21.13670000000002
443,29.26527778,32.87300000000005
444,22.49444444,22.69058000000001
445,28.26666667,31.493100000000027
446,22.74305556,21.511870000000044
447,30.96111111,34.437160000000006
448,23.22083333,23.893460000000005
449,23.97083333,28.416160000000048
450,16.70416667,19.332700000000045
451,18.00555556,20.189400000000035
452,15.60555556,14.068100000000015
453,20.45694444,23.912770000000023
454,14.58194444,14.173200000000008
455,19.77222222,22.246550000000013
456,15.12083333,15.244380000000035
457,22.05833333,26.255100000000027
458,15.93888889,15.757930000000044
459,25.40138889,30.428
460,19.07638889,18.97988000000004
461,27.77916667,32.604150000000004
462,20.29861111,20.05224000000004
463,28.01549296,33.16238000000004
464,20.22083333,19.758020000000045
465,25.12777778,27.93707000000001
466,18.08333333,17.630179999999996
467,25.05416667,26.9076
468,19.90138889,19.093440000000044
469,25.55694444,28.59136000000001
470,20.14583333,20.97660000000002
471,26.60138889,28.605860000000007
472,20.9625,18.66570000000001
473,25.86944444,28.474760000000003
474,20.02222222,20.111440000000016
475,25.48472222,28.96353000000005
476,20.84166667,19.68914000000001
477,26.30694444,30.3682
478,20.45833333,20.20690000000002
479,27.10694444,32.357050000000015
480,19.75833333,19.803950000000043
481,25.61388889,30.143430000000023
482,18.2125,18.970820000000003
483,26.30277778,31.9855
484,19.91666667,19.203400000000045
485,24.98055556,32.12686000000002
486,19.425,21.508260000000007
487,26.48194444,32.76060000000001
488,18.17323944,19.821470000000037
489,25.775,32.328670000000045
490,16.20138889,16.96078
491,15.97222222,20.11447000000004
492,12.54166667,11.71792000000005
493,18.85,22.503900000000044
494,13.16111111,11.509520000000007
495,21.36388889,25.453970000000027
496,15.05555556,16.083550000000002
497,20.61805556,23.408320000000003
498,13.92222222,14.75200000000001
499,18.825,21.148770000000013
500,16.88888889,14.61184000000003
501,19.04027778,21.85626000000002
502,15.85416667,16.070280000000025
503,16.61111111,20.6413
504,11.64722222,11.334280000000035
505,18.80833333,23.108060000000023
506,13.08333333,12.66586000000001
507,21.08333333,24.776730000000043
508,16.62083333,16.409780000000012
509,21.15972222,24.80813000000001
510,15.06944444,13.953300000000011
511,20.49444444,26.1379
512,16.52394366,15.191220000000044
513,22.34583333,26.63812000000001
514,14.32222222,14.028830000000028
515,20.79444444,26.36746000000005
516,13.8875,14.971300000000042
517,22.44305556,28.812460000000044
518,14.70833333,17.879700000000014
519,23.58472222,28.893430000000023
520,14.89027778,18.13165000000004
521,13.25555556,15.328970000000028
522,10.86805556,11.806759999999995
523,13.34444444,17.557100000000048
524,6.908333333,6.473260000000039
525,12.8625,17.673699999999997
526,6.584722222,6.156100000000038
527,13.89305556,19.59368000000001
528,6.868055556,6.458150000000046
529,17.77222222,22.55767000000003
530,14.03472222,14.962240000000008
531,16.54861111,21.162680000000023
532,14.52638889,14.94592
533,15.87777778,16.556600000000003
534,13.8125,12.770380000000046
535,18.7875,21.830870000000004
536,15.175,15.769980000000032
537,16.4915493,20.087270000000046
538,11.08611111,12.5154
539,17.75833333,23.73034000000001
540,12.81666667,13.298400000000017
541,19.49861111,24.135700000000043
542,13.16527778,12.819299999999998
543,19.36388889,24.11760000000004
544,14.1625,14.488580000000011
545,20.33888889,25.762100000000032
546,15.5375,16.786800000000028
547,19.39027778,25.73010000000005
548,11.87777778,15.234700000000032
549,19.15277778,26.032160000000037
550,11.62777778,12.650140000000022
551,12.22083333,14.429380000000036
552,10.01666667,9.335140000000024
553,11.25416667,15.701700000000017
554,7.038888889,7.270750000000021
555,14.25277778,17.1644
556,9.327777778,8.644000000000005
557,10.46944444,15.06313
558,6.280555556,6.274500000000046
559,10.9125,13.693500000000029
560,6.542253521,6.214070000000049
561,10.43055556,15.7851
562,5.845833333,5.262540000000001
563,16.27222222,22.207850000000008
564,11.90138889,13.205380000000048
565,11.8,14.267449999999997
566,7.794444444,9.997920000000022
567,13.3625,18.084500000000048
568,7.236111111,9.028250000000014
569,15.8625,21.980700000000013
