d2m,t2m,stl1,stl2,stl3,stl4,tcrw,date_full,,air-temp-1.8m-2m,air-hum,air-temp-1m,soil-temp,rain,dew2m,temp2m,soil1,soil2,soil3,soil4
271.33456,273.13852,274.4621,274.46664,276.54428,282.1539,5.96E-08,02.01.2019 07:00:00,,-1,89.1,-1.4,1.4,0,-1.81544,-0.01148,1.3121,1.31664,3.39428,9.0039
271.8263,274.33252,273.70007,274.441,276.54306,282.14795,5.96E-08,02.01.2019 08:00:00,,-0.1,88.7,0.1,1.4,0,-1.3237,1.18252,0.55007,1.291,3.39306,8.99795
271.71613,275.48938,273.40997,274.42,276.54306,282.1429,5.96E-08,02.01.2019 09:00:00,,0.5,88.7,1.3,1.4,0,-1.43387,2.33938,0.25997,1.27,3.39306,8.9929
271.98105,277.3878,274.84946,274.59018,276.5449,282.13626,5.96E-08,02.01.2019 10:00:00,,2.1,85.7,3.9,1.3,0,-1.16895,4.2378,1.69946,1.44018,3.3949,8.98626
271.38025,277.9132,275.5338,274.71957,276.5455,282.131,5.96E-08,02.01.2019 11:00:00,,4.7,69.4,5.9,1.3,0,-1.76975,4.7632,2.3838,1.56957,3.3955,8.981
270.9095,278.7952,276.7989,274.8952,276.54852,282.1253,0.000224769,02.01.2019 12:00:00,,5.2,64.9,6.2,1.3,0,-2.2405,5.6452,3.6489,1.7452,3.39852,8.9753
268.85715,279.0032,277.44064,275.08975,276.55066,282.12003,5.96E-08,02.01.2019 13:00:00,,5.6,61.7,6.1,1.4,0,-4.29285,5.8532,4.29064,1.93975,3.40066,8.97003
268.41055,278.04694,277.1776,275.26663,276.5552,282.11432,5.96E-08,02.01.2019 14:00:00,,5.5,66,7.2,1.5,0,-4.73945,4.89694,4.0276,2.11663,3.4052,8.96432
267.921,277.06363,276.88004,275.40067,276.56097,282.1079,5.96E-08,02.01.2019 15:00:00,,5.3,58.4,6,1.6,0,-5.229,3.91363,3.73004,2.25067,3.41097,8.9579
268.60672,276.24307,276.1963,275.46957,276.56674,282.10333,5.96E-08,02.01.2019 16:00:00,,3.5,68.1,3.5,1.6,0,-4.54328,3.09307,3.0463,2.31957,3.41674,8.95333
