,cdir,Global radiation.mean
463,2236133.0,318.2902778
465,2171602.5,306.1458333
467,2118623.0,292.5694444
469,2115177.2,248.7027778
471,2070734.2,254.2055556
473,2091604.8,264.2708333
475,2070538.5,274.9736111
477,2100141.0,288.5166667
479,2098379.0,283.5902778
481,2118035.8,203.8638889
483,2082050.5,262.5583333
485,2053152.8,181.8597222
487,2054484.0,273.1972222
489,2058595.5,216.0041667
491,1966420.2,90.725
493,2048454.0,244.3944444
495,2060122.8,272.2222222
497,1965519.6,129.5861111
499,1943905.0,139.4277778
501,1920410.9,153.0055556
503,1960938.2,137.9972222
505,1976092.0,269.1472222
507,1884660.6,250.3472222
509,1811398.0,214.7388889
511,1884151.5,178.5027778
513,1839199.5,237.925
515,1883564.2,254.9583333
517,1859443.5,248.0166667
519,1797145.0,241.0055556
521,1774825.5,41.58333333
523,1812416.1,157.5097222
525,1837554.9,244.5625
527,1824045.8,241.9708333
529,1774786.4,172.5819444
531,1603396.6,49.2125
533,1578492.9,69.91527778
535,1662876.0,166.2180556
537,1628574.5,212.7277778
539,1630884.8,186.6972222
541,1600029.1,131.65
543,1567724.8,208.8708333
545,1560598.1,180.6277778
547,1573676.5,209.4305556
549,1524143.0,149.3333333
551,1564083.1,101.6788732
553,1557191.5,153.0597222
555,1514471.2,193.7847222
557,1535890.1,191.6694444
559,1427817.1,115.8791667
561,1513570.8,199.7638889
563,1470693.9,193.6069444
565,1313400.6,25.96111111
567,1428600.2,189.6708333
569,1423353.2,189.3819444
571,1357687.1,159.2736111
573,1346135.8,156.1680556
575,1385684.2,186.1676056
577,1238493.5,100.6430556
579,1253960.5,128.4291667
581,1271620.2,166.1833333
583,1256662.2,164.9652778
585,1247147.1,168.9625
587,1215038.5,151.4583333
589,1220520.5,132.6694444
591,1232032.6,146.5388889
593,1208930.0,152.4097222
595,1191583.5,148.3875
597,1173453.9,142.1583333
599,1181911.8,106.5830986
601,1115110.1,95.13472222
603,970895.25,15.07916667
605,984326.06,14.36666667
607,1022190.75,45.47638889
609,1026811.25,25.42222222
611,960871.06,36.48472222
613,966274.75,71.80277778
615,931190.1,84.34305556
617,961419.25,60.70416667
619,979079.0,53.01527778
621,951747.5,94.72083333
623,910593.6,36.60972222
625,904837.56,25.07777778
627,843400.4,32.83611111
629,865484.9,26.44583333
631,826171.4,13.57638889
633,836391.25,28.11527778
635,855813.1,39.38333333
637,848490.75,28.36388889
639,791243.4,23.46666667
641,824135.2,28.27083333
643,845201.6,77.51527778
645,833689.5,60.61666667
647,712577.2,13.3625
649,774719.2,41.54444444
651,770098.6,70.4875
653,764577.5,57.90138889
655,749932.9,43.61527778
657,710736.8,18.30138889
659,697306.0,17.35555556
661,718137.44,39.44305556
663,710110.3,23.25694444
665,714887.44,56.85138889
667,744959.94,38.18611111
669,737089.4,66.46805556
671,630269.4,4.859722222
673,698284.94,40.41944444
675,723384.5,54.69444444
677,719507.94,11.25277778
679,675456.44,54.02916667
681,660263.56,41.80277778
683,669073.9,50.77777778
685,653215.3,16.38888889
687,653097.9,21.77638889
689,665158.2,22.7
691,640841.75,7.425
693,681095.06,21.075
695,671384.1,68.70277778
697,668564.8,56.86527778
699,655799.7,30.11111111
701,664844.94,62.06666667
703,656387.0,57.52222222
705,670287.75,45.27361111
707,647890.0,44.51666667
709,629760.3,16.24305556
711,628272.4,15.90138889
713,649769.5,25.2875
715,683561.94,39.99166667
717,678001.6,26.35
719,682700.44,33.07222222
721,680233.56,27.05277778
723,696366.25,17.77361111
725,697110.2,10.50138889
727,718724.8,68.35
729,703531.94,23.85833333
731,729845.4,61.09583333
733,759213.0,72.31527778
735,773505.3,70.42916667
737,724911.6,69.23611111
739,780866.8,59.5
741,784665.0,75.26805556
743,804439.25,75.29722222
745,782002.4,23.43333333
747,776285.44,73.91527778
749,819749.6,78.81126761
751,783921.0,26.30694444
753,819397.2,75.11388889
755,840385.25,29.44027778
757,843831.1,79.89861111
759,861960.75,80.91388889
761,837448.5,69.74027778
763,864505.94,15.64861111
765,851897.44,11.5125
767,861138.44,16.8375
769,896497.1,31.575
771,946108.9,60.65694444
773,971835.0,88.98611111
775,956250.56,89.02222222
777,985148.4,91.9375
779,921479.25,48.59722222
781,931111.9,53.34722222
783,930681.1,65.54722222
785,979940.5,66.11111111
787,1009347.3,47.0625
789,1056179.0,94.34305556
791,1018001.0,79.08194444
793,1041573.44,68.19583333
795,1051636.8,87.29027778
797,1030570.4,38.35277778
799,1047212.0,7.676056338
801,1131516.9,43.59861111
803,1192719.1,113.4763889
805,1135785.0,128.4847222
807,1189625.6,118.8027778
809,1207990.2,117.4555556
811,1186140.8,108.9194444
813,1216643.9,20.23055556
815,1283132.4,111.4486111
817,1312382.5,131.6125
819,1252198.4,77.71388889
821,1301692.8,78.925
823,1352675.0,132.4458333
825,1318412.8,115.9472222
827,1323189.9,50.75972222
829,1391871.0,130.6111111
831,1419555.0,109.6291667
833,1421943.5,134.1125
835,1425350.2,134.2847222
837,1432241.8,107.3041667
839,1452290.1,100.9847222
841,1476880.6,105.775
843,1480169.9,43.56944444
845,1561498.8,111.7888889
847,1575986.8,86.68873239
849,1591767.0,125.6277778
851,1529820.8,57.49722222
853,1586950.8,134.625
855,1561929.5,88.52083333
857,1612324.4,143.5347222
859,1700427.4,176.9263889
861,1633077.5,55.43055556
863,1680614.0,88.30277778
865,1694123.1,85.09722222
867,1745732.0,190.0319444
869,1722746.9,107.9805556
871,1721180.5,178.5816901
873,1765075.5,188.7763889
875,1671686.2,25.51666667
877,1828588.0,149.3486111
879,1936974.2,203.5986111
881,1921977.1,196.4652778
883,1908037.2,185.0027778
885,1835910.2,119.4805556
887,1945784.5,197.5361111
889,1952676.1,192.4958333
891,1911052.4,146.8402778
893,1928203.0,45.35555556
895,2002327.1,89.92083333
897,1910073.5,77.5625
899,1999116.2,49.1125
901,1938266.5,58.92777778
903,2020417.5,153.5125
905,2041719.0,197.1055556
907,2052291.2,
909,2057616.6,83.90694444
911,2162713.8,209.6152778
913,2223876.8,215.7222222
915,2159855.2,283.7833333
917,2205473.0,275.4916667
919,2185973.0,276.8666667
921,2180060.2,260.6458333
923,2282847.0,293.9138889
925,2329169.8,305.6069444
927,2299802.0,298.9472222
929,2298157.5,298.7125
931,2222819.5,249.7625
933,2227949.0,242.5375
935,2245687.2,292.7416667
937,2302151.5,203.4652778
939,2236916.0,149.8388889
941,2353525.5,308.5597222
943,2344010.2,309.7527778
945,2335983.0,318.1652778
947,2346594.5,310.3555556
949,2279440.5,299.3690141
951,2313820.2,260.65
953,2329992.0,248.2444444
955,2399652.0,327.9513889
957,2391194.2,323.0722222
959,2420013.8,331.2222222
961,2362257.2,321.0263889
963,2326585.5,221.3875
965,2317971.0,311.4736111
967,2332733.0,282.9930556
969,2279401.2,250.4152778
971,2328386.5,242.2972222
973,2273958.5,224.1140845
975,2348239.0,304.2888889
977,2405721.5,177.2055556
979,2408423.2,347.0333333
981,2347025.2,198.0166667
983,2476987.0,348.8708333
985,2437908.5,333.5513889
987,2419818.0,349.425
989,2401688.2,350.4805556
991,2403450.5,286.1097222
993,2396637.0,227.2055556
995,2282455.5,153.2847222
997,2350941.0,280.8722222
999,2294868.2,144.3916667
1001,2348395.8,339.3930556
1003,2363040.5,182.4333333
1005,2321025.0,164.7458333
1007,2373299.5,347.8138889
1009,2332380.5,101.9472222
1011,2207783.5,69.51944444
1013,2465279.0,317.3305556
1015,2455959.8,352.1527778
1017,2349218.0,278.5347222
1019,2465044.0,298.4541667
1021,2413631.0,218.35
1023,2394092.0,241.784507
1025,2411634.0,183.5638889
1027,2486893.8,217.1902778
1029,2399064.8,188.3583333
1031,2505101.5,319.95
1033,2434619.2,176.775
1035,2375805.5,238.0625
1037,2469704.0,252.3680556
1039,2447854.2,227.6680556
1041,2462029.0,300.3416667
1043,2375100.8,102.0013889
1045,2419622.0,348.1305556
1047,2465200.8,367.8847222
1049,2389902.0,163.9222222
1051,2353525.5,183.7875
1053,2446366.5,273.3333333
1055,2506628.8,297.7083333
1057,2506159.0,371.4583333
1059,2477261.0,387.7972222
1061,2462185.8,393.5611111
1063,2358694.0,281.9319444
1065,2317736.0,178.9944444
1067,2206804.5,186.8388889
1069,2395658.0,292.6611111
1071,2492728.0,356.1222222
1073,2409441.5,132.2152778
1075,2282886.2,79.23055556
1077,2379564.5,170.7361111
1079,2506159.0,361.075
1081,2555849.0,366.2347222
1083,2476908.8,273.8083333
1085,2471074.5,373.2458333
1087,2511993.2,389.2819444
1089,2518376.0,372.5472222
1091,2510779.5,351.8083333
1093,2493785.5,388.9958333
1095,2442724.8,371.1777778
1097,2424634.2,270.8394366
1099,2355209.0,221.9666667
1101,2451456.8,347.2069444
1103,2523388.0,379.5708333
1105,2494412.0,311.0944444
1107,2508743.2,372.4680556
1109,2566069.0,398.5013889
1111,2517162.0,390.7847222
1113,2533803.5,390.0180556
1115,2496369.8,364.7263889
1117,2528870.0,389.7958333
1119,2517749.5,239.0388889
1121,2548487.5,319.0763889
1123,2502674.0,356.775
1125,2424673.5,196.3722222
1127,2369814.5,144.4916667
1129,2429137.2,154.4013889
1131,2381444.2,236.5458333
1133,2410420.2,364.8611111
1135,2439592.0,364.0930556
1137,2394796.8,358.0444444
1139,2318284.0,120.9263889
1141,2357519.5,318.8708333
1143,2221057.5,160.4958333
1145,2352350.5,266.1180556
1147,2418251.5,359.7027778
1149,2440023.0,363.9236111
1151,2396128.0,359.025
1153,2354386.8,346.9486111
1155,2289464.5,324.0763889
1157,2347534.5,343.0472222
1159,2427962.5,349.6736111
1161,2354778.5,275.2805556
1163,2305714.8,95.24166667
1165,2136792.0,126.7361111
1167,2216045.5,231.3375
1169,2303600.2,320.8458333
1171,2274036.8,319.7704225
1173,2279323.0,213.1097222
1175,2268006.8,268.6763889
1177,2252657.0,290.525
1179,2204455.0,235.2361111
1181,2263582.0,321.9972222
1183,2183349.5,283.6152778
1185,2158054.0,211.5111111
1187,2190554.2,308.6347222
1189,2216828.5,276.9291667
1191,2173247.0,78.75833333
1193,2190828.5,324.2222222
1195,2225404.0,298.8152778
1197,2201714.0,315.7887324
1199,2193765.2,305.5125
1201,2029815.2,178.4944444
1203,2129156.2,240.1736111
1205,2182683.8,227.5597222
1207,2171328.2,275.6652778
1209,2154177.5,285.2638889
1211,2104291.8,289.5458333
1213,2104722.5,284.5625
1215,2116312.8,192.9277778
1217,1905492.0,76.49583333
1219,2019556.1,215.4125
1221,2097165.0,271.925
1223,2028288.1,212.084507
1225,2035649.6,232.8180556
1227,2012351.2,271.1444444
1229,1996218.6,270.9833333
1231,1896016.1,190.5388889
1233,1919823.5,254.2277778
1235,1961838.9,246.6666667
1237,1926676.0,242.1541667
1239,1885404.6,248.3430556
1241,1883525.0,242.95
1243,1856663.5,210.5125
1245,1854940.5,226.425
1247,1831446.4,231.4861111
1249,1808461.2,195.4652778
1251,1774159.9,206.1402778
1253,1729286.0,109.2361111
1255,1855841.1,157.7541667
1257,1760024.2,223.7027778
1259,1712761.9,204.0638889
1261,1673839.9,147.1375
1263,1674153.1,181.7791667
1265,1653595.8,209.4319444
1267,1624737.1,140.2833333
1269,1654731.2,138.0222222
1271,1645177.0,165.0708333
1273,1612246.0,126.7577465
1275,1552296.9,161.7125
1277,1579863.2,185.0125
1279,1559815.0,184.2347222
1281,1511338.8,167.2847222
1283,1508636.9,163.775
