,rain,tcrw
0,0.0,5.96e-08
1,0.0,5.96e-08
2,0.0,5.96e-08
3,0.0,5.96e-08
4,0.0,5.96e-08
5,0.0,5e-05
6,0.0,5e-05
7,0.0,5.96e-08
8,0.0,5.96e-08
9,0.0,5.96e-08
10,0.0,5.96e-08
11,0.0,5.96e-08
12,0.0,5.96e-08
13,0.0,5.96e-08
14,0.0,5.96e-08
15,0.0,5.96e-08
16,0.0,5.96e-08
17,0.0,5.96e-08
18,0.0,5.96e-08
19,0.0,5.96e-08
20,0.0,5.96e-08
21,0.0,5.96e-08
22,0.0,2.5e-05
23,0.0,5.96e-08
24,0.0,5.96e-08
25,0.0,5.96e-08
26,0.0,0.000324607
27,0.0,0.00039953
28,0.0,5.96e-08
29,0.0,5.96e-08
30,0.0,5.96e-08
31,0.0,5.96e-08
32,0.0,5.96e-08
33,0.0,5.96e-08
34,0.0,5.96e-08
35,0.0,0.000224769
36,0.0,5.96e-08
37,0.0,5.96e-08
38,0.0,5.96e-08
39,0.0,5.96e-08
40,0.0,5.96e-08
41,0.0,5.96e-08
42,0.0,5.96e-08
43,0.0,5.96e-08
44,0.0,5.96e-08
45,0.0,5.96e-08
46,0.0,5.96e-08
47,0.0,5.96e-08
48,0.0,5.96e-08
49,0.0,5.96e-08
50,0.0,5.96e-08
51,0.0,5.96e-08
52,0.0,5.96e-08
53,0.0,5.96e-08
54,0.0,5.96e-08
55,0.0,5.96e-08
56,0.0,5.96e-08
57,0.0,5.96e-08
58,0.0,5.96e-08
59,0.0,5.96e-08
60,0.0,5.96e-08
61,0.0,5.96e-08
62,0.0,5.96e-08
63,0.0,5.96e-08
64,0.0,5.96e-08
65,0.0,5.96e-08
66,0.0,5.96e-08
67,0.0,5.96e-08
68,0.0,5.96e-08
69,0.0,5.96e-08
70,0.0,5.96e-08
71,0.0,5.96e-08
72,0.0,5.96e-08
73,0.0,5.96e-08
74,0.0,5.96e-08
75,0.0,5.96e-08
76,0.0,5.96e-08
77,0.0,5.96e-08
78,0.0,5.96e-08
79,0.0,5.96e-08
80,0.0,5.96e-08
81,0.0,5.96e-08
82,0.0,5.96e-08
83,0.0,5.96e-08
84,0.0,5.96e-08
85,0.0,5.96e-08
86,0.0,5.96e-08
87,0.0,5.96e-08
88,0.0,5.96e-08
89,0.0,5.96e-08
90,0.0,5.96e-08
91,0.0,5.96e-08
92,0.0,5.96e-08
93,0.0,5.96e-08
94,0.0,5.96e-08
95,0.0,5.96e-08
96,0.0,5.96e-08
97,0.0,5.96e-08
98,0.0,5.96e-08
99,0.0,5.96e-08
100,0.0,5.96e-08
101,0.0,5.96e-08
102,0.0,5.96e-08
103,0.0,5.96e-08
104,0.0,5.96e-08
105,0.0,5.96e-08
106,0.0,5.96e-08
107,0.0,5.96e-08
108,0.0,5.96e-08
109,0.0,5.96e-08
110,0.0,5e-05
111,0.0,5e-05
112,0.0,0.000199795
113,0.0,0.000549316
114,0.0,0.000524342
115,0.0,0.001198471
116,0.0,0.001098633
117,0.0,0.001323342
118,0.0,0.00204736
119,0.0,0.001597941
120,0.0,0.000998735
121,0.0,0.003545404
122,0.0,0.008289218
123,0.0,0.01131022
124,0.1,0.010711014
125,0.0,0.007315457
126,0.0,0.003795087
127,0.0,0.000699103
128,0.0,5e-05
129,0.0,5.96e-08
130,0.0,5.96e-08
131,0.0,5.96e-08
132,0.0,5.96e-08
133,0.0,5.96e-08
134,0.0,5.96e-08
135,0.0,5.96e-08
136,0.0,5.96e-08
137,0.0,5.96e-08
138,0.0,5.96e-08
139,0.0,5.96e-08
140,0.0,5.96e-08
141,0.0,5.96e-08
142,0.0,5.96e-08
143,0.0,5.96e-08
144,0.0,5.96e-08
145,0.0,5.96e-08
146,0.0,5.96e-08
147,0.0,5.96e-08
148,0.0,5.96e-08
149,0.0,5.96e-08
150,0.0,5.96e-08
151,0.0,5.96e-08
152,0.0,5.96e-08
153,0.0,5.96e-08
154,0.0,5.96e-08
155,0.0,5.96e-08
156,0.0,5.96e-08
157,0.0,5.96e-08
158,0.0,5.96e-08
159,0.0,5.96e-08
160,0.0,5.96e-08
161,0.0,5.96e-08
162,0.0,5.96e-08
163,0.0,5.96e-08
164,0.0,5.96e-08
165,0.0,5.96e-08
166,0.0,5.96e-08
167,0.0,5.96e-08
168,0.0,5.96e-08
169,0.0,5.96e-08
170,0.0,5.96e-08
171,0.0,5.96e-08
172,0.0,5.96e-08
173,0.0,5.96e-08
174,0.0,5.96e-08
175,0.0,5.96e-08
176,0.0,5.96e-08
177,0.0,0.001697838
178,0.0,0.003395617
179,0.0,0.003245771
180,0.1,0.002696514
