u10,v10,dew2m,dw2m,temp2m,tmp2m,crr,max2mt,mx2t,msdrswrf,min2mt,mn2t,skt,sp,tcrw,temp-out,hi-temp,low-temp,out-hum,dew-pt,wind-speed,wind-dir,bar,rain,rain-rate
-0.48401126,-1.4544252,8.39434,281.54434,12.33077,285.48077,2.91E-11,15.08645,288.23645,-3.05E-05,1.46E+01,287.76132,287.71094,100511.38,0,11.6,12.8,11.6,84,8.9,0,---,100680,0,0
-0.4588101,-1.5541766,8.63915,281.78915,12.67666,285.82666,2.91E-11,14.90835,288.05835,6.8867493,1.43E+01,287.47314,288.33322,100498.68,0,10.4,11.6,10.4,88,8.5,0,---,100660,0,0
-0.77971387,-1.7307918,9.39758,282.54758,15.70532,288.85532,2.91E-11,16.82397,289.97397,78.019714,1.53E+01,288.43878,290.76135,100515.63,0,11.3,11.3,10.1,84,8.7,0,N,100660,0,0
-1.6512079,-1.3347235,10.02627,283.17627,16.99658,290.14658,2.91E-11,18.17617,291.32617,213.38757,1.71E+01,290.25555,293.66122,100492.195,0,12.3,12.7,11.3,79,8.8,0,N,100660,0,0
-1.9102044,-0.68309546,10.9166,284.0666,18.605,291.755,2.91E-11,19.07894,292.22894,351.0095,1.80E+01,291.17123,296.73358,100471.33,0,16.3,16.3,12.3,66,10,0,E,100660,0,0
-1.6759982,-0.7056161,10.81548,283.96548,21.59112,294.74112,2.91E-11,20.47744,293.62744,481.54074,1.94E+01,292.51627,299.29602,100429.01,0,18,18,16.2,63,10.8,1.6,E,100620,0,0
-1.7837877,-0.8474712,10.59335,283.74335,22.52886,295.67886,2.91E-11,21.70413,294.85413,508.78195,2.07E+01,293.89548,301.40338,100409.57,0,19.8,19.8,17.9,58,11.3,4.8,E,100630,0,0
-1.5679345,-1.3457389,10.94427,284.09427,23.85864,297.00864,2.91E-11,22.87963,296.02963,561.40674,2.20E+01,295.1192,301.79944,100384.76,0,21.6,21.6,19.8,52,11.3,3.2,E,100600,0,0
-1.4074142,-1.3924936,10.69793,283.84793,24.60745,297.75745,2.91E-11,23.87304,297.02304,592.114,2.31E+01,296.2348,303.07993,100341.14,0,23.1,23.3,21.6,47,11.2,1.6,E,100570,0,0
-1.779268,-1.2122066,10.57263,283.72263,25.196,298.346,2.91E-11,24.53112,297.68112,539.29663,2.40E+01,297.1955,303.19907,100251.75,0,24.6,24.8,23.1,40,10.1,1.6,E,100570,0,0
-1.5465684,-1.5030158,10.1781,283.3281,25.64797,298.79797,2.91E-11,25.0634,298.2134,535.2869,2.46E+01,297.79114,303.24182,100213.87,0,25.7,25.7,24.6,37,9.9,1.6,E,100500,0,0
-1.294009,-2.164068,9.8258,282.9758,25.81075,298.96075,2.91E-11,25.15634,298.30634,406.51132,2.49E+01,298.05096,302.26056,100135.31,0,26.5,26.6,25.2,34,9.4,1.6,NW,100450,0,0
