,Wind speed.mean,Wind direction.mean,u10,v10
0,0.620833333,64.49722222,0.46176773,-2.1023803
1,0.725,167.2652778,1.9684187,1.2726923
2,3.127777778,90.94722222,1.5535513,0.9882312
3,7.358333333,49.52638889,3.6085923,-3.6675668
4,8.995833333,46.41666667,2.1024582,-5.819141
5,5.266666667,47.68055556,1.6744969,-6.1963167
6,3.522222222,52.10277778,1.0571921,-3.9150534
7,1.783333333,90.37222222,0.772746,-4.0282063
8,1.980555556,115.3138889,1.6481369,0.74111605
9,3.445833333,102.2847222,2.9390845,1.6279436
10,5.531944444,58.79861111,2.8453603,-2.3953881
11,6.9625,45.84722222,2.022517,-4.901656
12,1.358333333,199.5902778,0.14872198,-3.195075
13,0.077777778,152.6708333,-0.025115743,-0.96862346
14,1.056944444,166.4444444,0.03484018,1.5315129
15,1.497222222,168.4611111,0.41662848,2.8079648
16,0.361111111,198.9416667,1.5332214,1.61085
17,1.258333333,154.3708333,0.6693737,0.0962013
18,1.538888889,92.56111111,0.14458708,-1.6889734
19,2.441666667,85.98194444,-0.6551698,-3.9683785
20,4.259722222,65.06527778,2.1424289,-3.1517835
21,2.622222222,48.96111111,2.3378024,-3.345388
22,1.5,151.5902778,1.3707546,0.98432934
23,2.016666667,146.4611111,3.3269029,0.78459346
24,1.729166667,145.0055556,1.1838231,1.6195825
25,1.388888889,128.8763889,2.5917537,1.3174704
26,2.444444444,113.9555556,3.267464,2.8902745
27,3.913888889,55.01944444,3.4256234,-3.0666866
28,3.911111111,83.82222222,2.5533338,-4.3279033
29,4.213888889,105.4,4.456934,-2.8600762
30,1.886111111,134.7027778,4.1259704,1.076115
31,1.098611111,142.0930556,2.860177,1.0449005
32,2.081944444,199.5888889,2.514569,2.99711
33,2.868055556,173.5916667,2.7783406,3.5985475
34,2.318055556,186.3236111,0.7965216,2.595037
35,2.323611111,63.24444444,0.88473266,-4.2024875
36,0.383333333,121.2166667,0.50156605,-1.372183
37,0.411111111,294.1805556,-1.6337608,-1.0108002
38,0.670833333,114.3916667,-0.9003344,-0.80790573
39,0.908333333,69.99166667,1.8410985,-1.1756057
40,0.311111111,259.5847222,-0.55748296,-0.75346607
41,0.404166667,313.3291667,-1.9938408,-0.77631956
42,0.454166667,162.3138889,-2.0927336,-1.124882
43,2.011111111,57.95694444,-1.7829615,-2.2931976
44,0.195833333,49.89722222,-0.24598785,-1.635277
45,0.927777778,78.50694444,0.20747189,-0.7172349
46,3.8,52.50416667,0.082736,-2.06522
47,5.254166667,55.8,2.4758043,-2.4925623
48,3.065277778,42.01805556,1.5027266,-2.7270427
49,3.765277778,35.37361111,0.5649677,-3.8124914
50,2.998611111,59.94027778,1.6607139,-3.8424053
51,0.509722222,132.1388889,2.7445724,0.08263779
52,1.311111111,222.55,0.5377463,1.6870283
53,1.218055556,239.5458333,-0.81315714,2.1041512
54,1.354166667,178.9097222,-1.4249488,2.0214696
55,1.277777778,60.20555556,0.23124751,-0.7599691
56,0.247222222,17.30277778,1.6588187,0.042133212
57,1.147222222,57.85972222,-0.008576185,-1.270364
58,0.0,33.8875,-0.1677695,-1.1564682
59,0.066666667,225.8125,0.08084084,0.6456144
60,0.422222222,268.7444444,-1.5515798,-0.91455543
61,0.543055556,283.7847222,-1.7319645,0.08300936
62,1.444444444,224.9152778,-1.093813,1.4202181
63,1.127777778,231.0638889,-1.6544353,2.2351408
64,3.690277778,233.9625,-1.5767337,3.382275
65,2.4,242.1972222,-2.340827,3.8044147
66,1.920833333,216.9555556,-3.9460266,2.3999462
67,1.290277778,157.2972222,0.03552933,1.282354
68,3.847222222,50.95555556,1.2522211,-4.17183
69,1.751388889,42.83472222,0.3292789,-3.4226813
70,1.480555556,41.57638889,-0.30335945,-1.6248721
71,3.377777778,38.56527778,-0.46186364,-2.4234443
72,4.116666667,59.55555556,0.53430057,-1.9641445
73,1.488888889,55.73194444,0.63560545,-2.8292332
74,0.4125,106.1083333,0.17869994,-1.6484687
75,1.230555556,248.5666667,-2.5882313,1.4014524
76,1.334722222,123.7402778,-1.2979732,-0.8688484
77,0.788888889,197.9111111,0.23469326,-0.79304165
78,2.240277778,215.725,-0.24650471,1.0352389
79,1.458333333,239.6472222,-0.058539435,1.9664727
80,0.945833333,238.7944444,-0.46806598,1.5175778
81,3.847222222,211.1972222,-0.08972342,2.7362456
82,4.191666667,162.8208333,0.63560545,3.695907
83,5.497222222,71.34583333,2.4301484,-2.2450752
84,10.02777778,44.74027778,2.6394773,-3.8752923
85,8.445833333,45.56111111,2.4499614,-7.099309
86,3.863888889,60.44166667,1.876245,-3.2822156
87,2.004166667,77.65,-0.14933477,-2.9626384
88,1.836111111,107.4305556,2.9557965,0.6112412
89,2.744444444,67.97222222,2.7991874,-2.8756835
90,1.872222222,56.14722222,1.2258611,-2.180974
91,1.458333333,292.8444444,-2.0181334,-2.7233267
92,0.3,106.7694444,0.9615727,-0.80270326
93,0.441666667,225.8416667,0.6120021,0.8691329
94,0.218055556,245.6347222,0.4495353,1.891595
95,0.423611111,238.6041667,-0.4029414,0.8992326
96,0.138888889,239.525,0.22986922,1.670492
97,0.798611111,266.1930556,-1.1120753,0.8249123
98,0.334722222,235.2027778,-0.63983625,1.5850235
99,0.461111111,180.6777778,0.6698906,0.465016
100,1.125,77.6375,2.3004162,-0.36031145
101,0.879166667,21.11527778,0.57117003,-1.6460534
102,0.106944444,135.2208333,0.5770278,-0.83243144
103,0.6375,91.75833333,1.942748,-0.2900787
104,1.818055556,80.28194444,1.6346985,0.47096157
105,8.480555556,176.9902778,3.1658144,-4.829008
106,7.976388889,226.9291667,-2.1127188,-4.6998763
107,2.798611111,319.2569444,-2.4224913,-4.5597825
108,1.244444444,174.7513889,-0.67860085,-2.0815706
109,1.027777778,276.5180556,-0.8927538,-1.8472757
110,0.704166667,294.3069444,0.87353396,-0.6769161
111,0.801388889,132.4458333,-1.9001168,0.020951867
112,2.491666667,102.8944444,1.7945809,1.1090018
113,6.701388889,48.08888889,3.4199378,-3.344273
114,2.116666667,64.8375,0.69607824,-3.1278152
115,1.527777778,61.11666667,0.0532749,-3.2268472
116,2.073611111,140.5944444,2.0948775,1.2344173
117,1.693055556,119.8305556,3.715238,1.9376737
118,0.375,139.5583333,3.0991392,0.09341431
119,0.859722222,165.8888889,2.0893643,0.39905667
120,1.763888889,73.83611111,1.9842691,-1.2621888
121,1.461111111,78.75555556,0.97966284,-2.8262606
122,0.85,118.0972222,0.78256637,-0.49668926
123,0.802777778,177.9138889,1.3313009,1.7537307
124,1.493055556,139.8194444,1.7139506,2.106195
125,2.8625,133.4541667,3.0686445,3.8967576
126,3.913888889,124.9666667,3.4407847,-1.3892766
127,1.198611111,153.2208333,0.059649527,1.2267996
128,0.893055556,147.9277778,1.9268975,1.3042785
129,1.456944444,229.9847222,-0.3795104,1.6691915
130,1.436111111,223.5180556,0.19592865,2.4512272
131,2.655555556,191.7027778,2.0781658,4.0407534
132,1.280555556,151.1458333,1.323548,2.2784324
133,1.336111111,121.0944444,2.9685457,0.5493696
134,1.1625,127.6847222,2.2785356,-0.59795076
135,2.506944444,122.325,1.7401382,3.0926118
136,4.094444444,137.7305556,5.8534937,1.0725847
137,3.091666667,126.0,4.1175284,2.9798307
138,2.283333333,101.4125,2.3898332,0.45646918
139,3.786111111,114.9180556,-0.798685,2.2200909
140,5.088888889,57.95416667,2.8310604,-2.1369393
141,3.081944444,68.48888889,0.09841413,-4.455177
142,1.772222222,171.9597222,1.2637643,1.4986261
143,1.772222222,200.2625,-0.34918785,2.000846
144,1.868055556,60.86111111,0.3759687,-1.2164818
145,1.197222222,116.8222222,2.0395734,-1.0438728
146,2.054166667,147.8194444,0.6187213,3.5322165
147,1.619444444,123.6388889,2.504921,-2.61965
148,2.754166667,147.6791667,2.0933268,1.4726142
149,0.781944444,256.4138889,-1.2678229,-0.8630886
150,1.9875,171.6402778,0.71416837,1.6619452
151,1.9375,122.9777778,2.881024,2.7039165
152,2.791666667,161.475,3.3499894,0.54453874
153,7.001388889,63.4875,0.39664316,-4.958883
154,2.688888889,63.18333333,0.8802532,-1.4310818
155,2.398611111,150.4194444,-0.4113835,-2.9199042
156,2.441666667,63.19166667,0.8165069,-1.4009821
157,0.892537313,30.41791045,-1.5141935,-2.233184
158,1.322222222,63.47638889,-0.5499024,-1.980495
159,0.7,280.7277778,-1.7450583,-1.084749
160,0.569444444,232.7861111,-0.42137617,-1.7309644
161,0.680555556,109.2236111,-0.48770672,-1.2333897
162,0.448611111,191.9305556,-0.084037945,-1.2764955
163,0.963888889,245.0986111,-1.0309281,-1.7789011
164,0.515277778,73.26388889,0.96553534,-0.8721928
165,0.701388889,242.775,0.45746052,1.0736996
166,2.093055556,179.6944444,1.5421803,-0.030514896
167,6.033333333,165.4680556,-2.1935215,-4.2968745
168,4.061111111,67.54166667,3.0565844,-1.9221535
169,2.916666667,58.125,-0.25529134,-3.3548641
170,1.405555556,86.6625,1.2799593,-1.7045807
171,1.075,124.9097222,-0.95305425,-3.1246567
172,1.431944444,72.14166667,0.3788976,-1.8556368
173,1.352777778,48.06388889,-0.64672774,-2.293755
174,1.530555556,79.39166667,0.8566498,-1.5475789
175,2.304166667,238.7569444,-1.0462617,-3.0105748
176,0.276388889,242.9236111,1.2685883,-1.2815121
177,0.545833333,200.7513889,-0.13624094,-0.74491924
178,0.184848485,154.5712121,0.17266989,-0.2400983
179,0.659722222,255.8458333,-0.87914306,-1.0364407
180,1.359722222,65.50972222,0.82184786,-1.7623647
181,1.983333333,137.3958333,-1.1570423,-2.7012165
182,0.488888889,109.5902778,-2.1568244,-1.8729162
183,0.902777778,279.3013889,-1.6222175,-0.09870386
184,1.019444444,237.9805556,-1.668046,1.6913017
185,1.497222222,216.6333333,0.40370694,1.9800361
186,1.248611111,230.6458333,-1.5057515,1.8967975
187,2.441666667,221.5194444,-1.0915731,4.4259186
188,2.979166667,246.3375,-3.2758293,2.1364803
189,2.169444444,164.2291667,-4.152254,2.092074
190,0.595833333,162.3388889,-1.1422256,0.6497021
191,1.266666667,273.2958333,0.7058986,0.7058139
192,0.219444444,308.4166667,-1.1486002,-1.6298888
193,1.044444444,203.2888889,-0.13451807,-0.44856685
194,0.883333333,98.3,1.5485549,-0.6562922
195,0.501388889,263.3194444,-1.1175885,-1.1665014
196,1.348611111,77.94722222,1.2122505,-1.2904305
197,1.290277778,88.78055556,0.88835067,-1.4072993
198,0.666666667,74.55694444,0.3640809,-1.0622671
199,2.047222222,155.4722222,-0.8638095,-1.8221927
200,0.633333333,46.475,-0.19206198,-0.8537985
201,5.623611111,70.90138889,1.6838003,-1.887037
