Wind speed.mean,Rainfall.mean,Wind direction.mean,Ground temperature.mean,Air temperature.mean,u10,v10,d2m,t2m,skt,tcrw,Air moisture.mean,cdir,Global radiation.mean,cdir_real
2.323611111,0.016666667,63.24444444,3.458333333,1.856944444,0.88473266,-4.2024875,274.24265,276.46915,276.43594,0.006723553,99.42916667,2793420.5,10.60833333,258.6500463
0.383333333,0,121.2166667,3.480555556,0.545833333,0.50156605,-1.372183,271.34216,272.98044,269.91113,0.000105172,94.74861111,0,40.05277778,0
0.411111111,0.005555556,294.1805556,3.443055556,1.076388889,-1.6337608,-1.0108002,271.68753,275.05515,276.12967,4.21E-05,92.63888889,2924146,32.44166667,270.7542593
0.670833333,0.034722222,114.3916667,3.526388889,0.306944444,-0.9003344,-0.80790573,272.55417,273.99988,272.8597,0,91.28472222,0,17.40416667,0
0.908333333,0.018055556,69.99166667,3.445833333,1.277777778,1.8410985,-1.1756057,272.04474,274.5865,276.5915,0,98.33472222,2920874.8,27.96805556,270.4513704
0.311111111,0,259.5847222,3.4625,0.008333333,-0.55748296,-0.75346607,271.48404,273.85046,272.73444,0,98.90277778,0,23.24722222,0
0.404166667,0,313.3291667,3.4,0.155555556,-1.9938408,-0.77631956,270.65286,274.33517,275.76352,0,94.99305556,3015112.8,23.675,279.1771111
0.454166667,0,162.3138889,3.397222222,-1.034722222,-2.0927336,-1.124882,271.03964,272.8162,272.16867,0,93.30972222,0,15.25833333,0
2.011111111,0,57.95694444,12.4625,-1.816666667,-1.7829615,-2.2931976,271.17267,272.95453,273.85217,0,97.95,2899108,14.34861111,268.4359259
0.195833333,0,49.89722222,12.39722222,-2.236111111,-0.24598785,-1.635277,270.0439,271.0206,269.7735,0,95.69027778,0,25.35416667,0
0.927777778,0.004166667,78.50694444,3.269444444,-1.495833333,0.20747189,-0.7172349,269.67932,271.83936,273.38828,0,99.19027778,3082048,54.2125,285.3748148
3.8,0,52.50416667,3.184722222,-1.180555556,0.082736,-2.06522,269.6271,270.8187,270.3241,0,92.8,0,35.94722222,0
5.254166667,0.001388889,55.8,3.1,-0.851388889,2.4758043,-2.4925623,271.56683,273.35464,273.39447,0,99.65277778,2979254.5,37.04027778,275.8568981
3.065277778,0,42.01805556,3.088888889,-2.325,1.5027266,-2.7270427,269.2699,271.40466,270.3069,0,97.84444444,0,37.81527778,0
3.765277778,0,35.37361111,3.001388889,-1.766666667,0.5649677,-3.8124914,267.49866,270.82858,270.37436,0,89.72083333,3135017.8,31.83055556,290.2794259
2.998611111,0,59.94027778,2.929166667,-2.044444444,1.6607139,-3.8424053,266.52167,270.07587,269.19672,0,81.91666667,0,85.18194444,0
0.509722222,0.0125,132.1388889,2.9,-0.870833333,2.7445724,0.08263779,267.39026,272.94586,273.02832,0,79.92083333,3300343,71.29027778,305.5873148
1.311111111,0,222.55,2.9,-3.7875,0.5377463,1.6870283,267.41638,269.50903,265.68652,0,94.26944444,0,87.81111111,0
1.218055556,0.013888889,239.5458333,2.826388889,0.5,-0.81315714,2.1041512,270.37698,274.5661,276.89502,0,93.29166667,3304369.2,70.06805556,305.9601111
1.354166667,0.048611111,178.9097222,2.8,1.766666667,-1.4249488,2.0214696,270.7263,273.79303,268.78445,0,96.36527778,0,29.35833333,0
1.277777778,0.119444444,60.20555556,2.719444444,1.204166667,0.23124751,-0.7599691,273.09073,275.5022,275.52332,0.007452697,96.32916667,3200569,25.75416667,296.3489815
0.247222222,0.016666667,17.30277778,2.695833333,1.406944444,1.6588187,0.042133212,272.36694,273.9715,272.32834,0,99.08194444,0,48.99027778,0
1.147222222,0.076388889,57.85972222,2.611111111,1.526388889,-0.008576185,-1.270364,273.93225,276.011,276.85373,0.000855342,96.26111111,3289019.5,42.04722222,304.5388426
0,0.031944444,33.8875,2.6,0.444444444,-0.1677695,-1.1564682,272.21915,273.509,272.14252,0.000182286,92.59583333,0,49.52916667,0
0.066666667,0.005555556,225.8125,2.6,-0.190277778,0.08084084,0.6456144,272.84683,275.37808,276.12692,7.01E-05,96.00833333,3383131.5,51.3125,313.2529167
