dateandtime,air-temp-1.8m-2m,air-hum,air-temp-1m,soil-temp,leaf-hum,rain
31.12.2019. 9:20:00,0.2,86.1,1.3,1.5,100,0
31.12.2019. 9:10:00,-0.1,86.3,0.7,1.5,100,0
31.12.2019. 9:00:00,-0.4,86.3,0.4,1.5,100,0
31.12.2019. 8:50:00,-0.6,87.2,0.1,1.5,100,0
31.12.2019. 8:40:00,-0.9,87.7,-0.2,1.5,100,0
31.12.2019. 8:30:00,-1.2,88.4,-0.5,1.5,100,0
31.12.2019. 8:20:00,-1.2,88.9,-0.8,1.5,100,0
31.12.2019. 8:10:00,-1.4,88.8,-0.9,1.5,100,0
31.12.2019. 8:00:00,-1.5,88.8,-1.1,1.5,100,0
31.12.2019. 7:50:00,-1.6,89.3,-1.3,1.5,100,0
31.12.2019. 7:40:00,-1.6,89.7,-1.4,1.5,100,0
31.12.2019. 7:30:00,-1.6,89.4,-1.4,1.5,100,0
31.12.2019. 7:20:00,-1.8,88.6,-1.7,1.6,100,0
31.12.2019. 7:10:00,-1.7,88.9,-1.7,1.5,100,0
31.12.2019. 7:00:00,-1.8,88.8,-1.7,1.5,100,0
31.12.2019. 6:50:00,-1.9,88.6,-1.8,1.6,100,0
31.12.2019. 6:40:00,-1.9,89.3,-1.8,1.5,100,0
31.12.2019. 6:30:00,-1.9,89.5,-1.7,1.5,100,0
31.12.2019. 6:20:00,-1.8,89.9,-1.7,1.5,100,0
31.12.2019. 6:10:00,-1.9,90,-1.8,1.5,100,0
31.12.2019. 6:00:00,-1.9,89.8,-1.9,1.6,100,0
31.12.2019. 5:50:00,-2.1,89.6,-2.1,1.6,100,0
31.12.2019. 5:40:00,-2.1,89.9,-1.9,1.5,100,0
31.12.2019. 5:30:00,-2.2,89.8,-2.1,1.6,100,0
31.12.2019. 5:20:00,-2.3,89.8,-2.3,1.6,100,0
31.12.2019. 5:10:00,-2.4,89.7,-2.3,1.5,100,0
31.12.2019. 5:00:00,-2.3,89.8,-2.3,1.6,100,0
31.12.2019. 4:50:00,-2.2,89.2,-2.1,1.6,100,0
31.12.2019. 4:40:00,-2.4,88.2,-2.7,1.6,100,0
31.12.2019. 4:30:00,-2.5,87.4,-2.7,1.6,100,0
31.12.2019. 4:20:00,-2.4,87.5,-2.6,1.6,100,0
31.12.2019. 4:10:00,-2.4,87.7,-2.6,1.6,100,0
31.12.2019. 4:00:00,-2.4,87.4,-2.4,1.6,100,0
31.12.2019. 3:50:00,-2.3,87.4,-2.2,1.6,100,0
31.12.2019. 3:40:00,-2.3,87.5,-2.2,1.6,100,0
31.12.2019. 3:30:00,-2.3,87.6,-2.1,1.6,100,0
31.12.2019. 3:20:00,-2.3,87.3,-2.2,1.6,100,0
31.12.2019. 3:10:00,-2.3,87.3,-2.3,1.6,100,0
31.12.2019. 3:00:00,-2.4,87.2,-2.4,1.6,100,0
31.12.2019. 2:50:00,-2.2,87.3,-2.1,1.6,100,0
31.12.2019. 2:40:00,-2.3,87.1,-2.1,1.6,100,0
31.12.2019. 2:30:00,-2.3,88.3,-2.2,1.6,100,0
31.12.2019. 2:20:00,-2.6,89.3,-2.5,1.6,100,0
31.12.2019. 2:10:00,-2.7,89.7,-2.8,1.6,100,0
31.12.2019. 2:00:00,-2.7,89.8,-2.8,1.6,100,0
31.12.2019. 1:50:00,-2.7,89.7,-3.1,1.6,100,0
31.12.2019. 1:40:00,-2.6,89.2,-3.1,1.6,100,0
31.12.2019. 1:30:00,-2.6,89,-3.1,1.6,100,0
31.12.2019. 1:20:00,-2.5,88.4,-2.9,1.6,100,0
31.12.2019. 1:10:00,-2.4,87.9,-2.7,1.6,100,0
31.12.2019. 1:00:00,-2.2,87.3,-2.4,1.6,100,0
31.12.2019. 0:50:00,-2,87.4,-2.1,1.6,100,0
31.12.2019. 0:40:00,-1.9,87.4,-1.9,1.6,100,0
31.12.2019. 0:30:00,-1.9,87.8,-1.9,1.6,100,0
31.12.2019. 0:20:00,-2,87.9,-2,1.6,100,0
31.12.2019. 0:10:00,-2,87.8,-2.4,1.6,100,0
31.12.2019. 0:00:00,-1.8,87.9,-2.1,1.6,100,0
30.12.2019. 23:50:00,-1.7,88.6,-1.9,1.6,100,0
30.12.2019. 23:40:00,-1.7,88,-1.9,1.6,100,0
30.12.2019. 23:30:00,-1.6,88.1,-1.5,1.6,100,0
30.12.2019. 23:20:00,-1.6,88.4,-1.7,1.6,100,0
30.12.2019. 23:10:00,-1.6,87.8,-1.8,1.6,100,0
30.12.2019. 23:00:00,-1.3,87.3,-1.6,1.6,100,0
30.12.2019. 22:50:00,-1.1,86.5,-1,1.6,100,0
30.12.2019. 22:40:00,-0.9,86.4,-0.8,1.6,100,0
30.12.2019. 22:30:00,-0.8,86,-0.7,1.6,100,0
30.12.2019. 22:20:00,-0.8,85.3,-0.6,1.6,100,0
30.12.2019. 22:10:00,-0.8,85.3,-0.5,1.6,100,0
30.12.2019. 22:00:00,-0.8,86.4,-0.6,1.6,100,0
30.12.2019. 21:50:00,-0.9,87.6,-0.6,1.6,100,0
30.12.2019. 21:40:00,-1,87.7,-0.7,1.6,100,0
30.12.2019. 21:30:00,-0.9,87.5,-0.6,1.6,100,0
30.12.2019. 21:20:00,-1,87.2,-0.6,1.6,100,0
30.12.2019. 21:10:00,-1,88.4,-0.8,1.6,100,0
30.12.2019. 21:00:00,-1.1,88.2,-0.8,1.6,100,0
30.12.2019. 20:50:00,-1.1,88.4,-0.8,1.6,100,0
30.12.2019. 20:40:00,-1.2,88.7,-0.9,1.6,100,0
30.12.2019. 20:30:00,-1.3,89.5,-1.1,1.6,100,0
30.12.2019. 20:20:00,-1.3,89.5,-1.1,1.6,100,0
30.12.2019. 20:10:00,-1.5,89,-1.4,1.6,100,0
30.12.2019. 20:00:00,-1.4,88.9,-1.4,1.6,100,0
30.12.2019. 19:50:00,-1.4,88.4,-1.4,1.6,100,0
30.12.2019. 19:40:00,-1.4,87.8,-1.3,1.6,100,0
30.12.2019. 19:30:00,-1.6,87.8,-1.5,1.6,100,0
30.12.2019. 19:20:00,-1.6,88,-1.5,1.6,100,0
30.12.2019. 19:10:00,-1.6,88.1,-1.4,1.6,100,0
30.12.2019. 19:00:00,-1.6,88.1,-1.4,1.7,100,0
30.12.2019. 18:50:00,-1.5,87.9,-1.4,1.6,100,0
